Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,1.313932105506164,0.18714114271872573,0.9924216216216215,0.021898868425102733,0.0031190190453120954,0.016540360360360357,0.023454714565672975,0.23642582844049098,1.0040515625,0.05,0.0,0.9924216216216215,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,On,21636.105232386653,20.000000000000057,0.9250000000000003,6271.581259002237,29.085010733933927,1.0040515625,1,26903.63492888889,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,82.11325875668048,51.666666666666686,46.10666666666668,0.0,50.69593761671799,0.0,0.0,0.0,128.30196680731325,50.76163814051419,50.79448840241229,50.69593761671799,12.43753247303448,20.158278496699175,0.0,8.688817447487398,-1.6388215121907586,2.8,9.236100170605994,19379.29699021093,-114.99612572857313,2057.9320415706648,-2413.7832975926613,-0.0,-0.0,312.54972927615546,0.0,1.0,0.10670234744500381,0.0,0,0.6331855964486018,65.99961422222222,-155.57467385922052,0.18390361638396718,9.178823391376763,0.002641567116353073,-41.80537558750483,1.2178834342487392,0.8462477869465529,-6494.46363463426,107.88624990345018,0.4218036189900441,2440.032638556491,-382.10059698582614
2025-01-01 00:01:00,0.3098805430061639,0.18714114271872573,0.0,0.005164675716769399,0.0031190190453120954,0.0,0.023454714565672975,0.23642582844049098,0.0,0.05,0.0,0.0,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,81.71175796883016,51.666666666666686,46.10666666666668,0.0,50.68229868049547,0.0,0.0,0.0,127.67462182629713,50.74884432825665,50.782117152137246,50.68229868049547,12.43753247303448,20.295082814095984,0.0,8.767869024502641,-1.5951078352968577,2.8,9.236100170605994,-2304.7130046175757,-6480.638875288136,2028.6675627130485,-2441.546706616665,-0.0,-0.0,312.54972927615546,0.0,1.0,0.10708567590678161,0.0,0,0.6354603173569829,65.99961422222222,-175.71602727706642,0.18288078352670514,9.264590138189249,0.0026414748875884064,-42.12257081557202,1.2208716607329082,0.8468235817287577,-6586.123627597725,105.48475230958962,0.42107503213320746,2411.8299142526253,-383.1623515395767
2025-01-01 00:02:00,0.3098805430061639,0.18714114271872573,0.0,0.005164675716769399,0.0031190190453120954,0.0,0.023454714565672975,0.23642582844049098,0.0,0.05,0.0,0.0,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,81.99500911146075,51.666666666666686,46.10666666666668,0.0,50.736113072592026,0.0,0.0,0.0,128.11720173665742,50.73611307259203,50.73611307259203,50.736113072592026,12.43753247303448,20.17907362575419,0.0,8.698571982673572,-1.5524525940112621,2.8,9.236100170605994,-2280.622747164169,-6397.664324313951,2001.0088213177742,-2417.995392374233,-0.0,-0.0,312.54972927615546,0.0,1.0,0.10676064622955989,0.0,0,0.6335315490124888,65.99961422222222,-175.17708406609142,0.1841908581498555,9.211307915681974,0.0026413821864982394,-41.79562726362569,1.2213545735853824,0.8463188580819978,-6505.767726256992,108.10340194304138,0.4203628691743002,2384.3831776937163,-383.3743563759422
2025-01-01 00:03:00,0.3098805430061639,0.18714114271872573,0.0,0.005164675716769399,0.0031190190453120954,0.0,0.023454714565672975,0.23642582844049098,0.0,0.05,0.0,0.0,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,82.2629057747418,51.666666666666686,46.10666666666668,0.0,50.72246182472883,0.0,0.0,0.0,128.53579027303405,50.723337684445085,50.723775614303214,50.72246182472883,12.43753247303448,20.066431296994896,0.0,8.63388992617655,-1.5106835107683267,2.8,9.236100170605994,-2258.833001804928,-6320.588760176879,1975.2979781709387,-2395.214328521528,-0.0,-0.0,312.54972927615546,0.0,1.0,0.10644472496778032,0.0,0,0.6316568311889302,65.99961422222222,-176.1684025595552,0.1854728961654256,9.159772710999679,0.0026412902412965753,-41.47740607126923,1.2218238382461362,0.8458474758360572,-6430.843490516799,110.25473033992091,0.4196643301975724,2357.5767918274555,-382.2788136565167
2025-01-01 00:04:00,0.3098805430061639,0.18714114271872573,0.0,0.005164675716769399,0.0031190190453120954,0.0,0.023454714565672975,0.23642582844049098,0.0,0.05,0.0,0.0,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,82.52236328128252,51.666666666666686,46.10666666666668,0.0,50.70876640166081,0.0,0.0,0.0,128.94119262700394,50.71052055614963,50.71139763339406,50.70876640166081,12.43753247303448,19.956892160965207,0.0,8.573382675247455,-1.469644525104379,2.8,9.236100170605994,-2233.072771495416,-6248.637873105941,1950.8137867517485,-2373.142956076985,-0.0,-0.0,312.54972927615546,0.0,1.0,0.1061372001786745,0.0,0,0.6298319391253976,65.99961422222222,-172.47954469458625,0.18672913255057727,9.109111564994631,0.0026411990311865433,-41.16724336099391,1.2222805223363913,0.8454062803098906,-6360.825277972761,112.18740486681918,0.41897686696799713,2331.30672008574,-380.49293333399146
2025-01-01 00:05:00,0.3098805430061639,0.18714114271872573,0.0,0.005164675716769399,0.0031190190453120954,0.0,0.023454714565672975,0.23642582844049098,0.0,0.05,0.0,0.0,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,82.773755868588,51.666666666666686,46.10666666666668,0.0,50.69502820959871,0.0,0.0,0.0,129.33399354466874,50.69766300258454,50.698980399077456,50.69502820959871,12.43753247303448,19.850318068793076,0.0,8.516690212553677,-1.4292126326433185,2.8,9.236100170605994,-2204.2978350774442,-6181.246118187553,1927.408296551701,-2351.7468338934063,-0.0,-0.0,312.54972927615546,0.0,1.0,0.10583770916094853,0.0,0,0.6280547205052771,65.99961422222222,-165.10073046019315,0.187960442354622,9.059991786111897,0.0026411085369582375,-40.8647939037985,1.2227251737615317,0.8449926917138826,-6295.283070333631,114.03695214607775,0.4182984685598392,2305.4910853682054,-378.0827888165046
2025-01-01 00:06:00,0.3098805430061639,0.18714114271872573,0.0,0.005164675716769399,0.0031190190453120954,0.0,0.023454714565672975,0.23642582844049098,0.0,0.05,0.0,0.0,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,83.01740054185713,51.666666666666686,46.10666666666668,0.0,50.68124859240249,0.0,0.0,0.0,129.71468834665177,50.68476628031985,50.686525124278525,50.68124859240249,12.43753247303448,19.74659214185678,0.0,8.463509171840743,-1.3892840454198212,2.8,9.236100170605994,-2175.2591793808733,-6118.011724723585,1904.8972854209073,-2330.996330340111,-0.0,-0.0,312.54972927615546,0.0,1.0,0.10554594692349269,0.0,0,0.6263233654716882,65.99961422222222,-156.8125783169175,0.18916750799712856,9.01235270053877,0.002641018740244222,-40.56976573633804,1.2231582539903092,0.8446045358995797,-6233.854615441584,115.84289071799962,0.4176274335021058,2280.0610673763895,-375.163781955482
2025-01-01 00:07:00,0.3098805430061639,0.18714114271872573,0.0,0.005164675716769399,0.0031190190453120954,0.0,0.023454714565672975,0.23642582844049098,0.0,0.05,0.0,0.0,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,83.25364057175024,51.666666666666686,46.10666666666668,0.0,50.667428841111764,0.0,0.0,0.0,130.08381339335975,50.67183159653402,50.67403297424515,50.667428841111764,12.43753247303448,19.64558766372784,0.0,8.41357677937426,-1.3497727051452006,2.8,9.236100170605994,-2147.034177498327,-6058.768663834772,1883.120427710084,-2310.860335149438,-0.0,-0.0,312.54972927615546,0.0,1.0,0.10526157893054967,0.0,0,0.6246358888459719,65.99961422222222,-148.72357162504457,0.190351176663964,8.965404823890877,0.0026409296233926354,-40.28184084870739,1.2235802676420922,0.8442399287563136,-6176.226400672919,117.45773683814714,0.4169623475916291,2254.9597844253435,-371.83935671525956
2025-01-01 00:08:00,0.3098805430061639,0.18714114271872573,0.0,0.005164675716769399,0.0031190190453120954,0.0,0.023454714565672975,0.23642582844049098,0.0,0.05,0.0,0.0,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,83.4828094193116,51.666666666666686,46.10666666666668,0.0,50.6535701895746,0.0,0.0,0.0,130.44188971767437,50.65886010492159,50.66150506259509,50.6535701895746,12.43753247303448,19.547181520039885,0.0,8.366657245776217,-1.3106079192038476,2.8,9.236100170605994,-2119.8175344117703,-6003.1496941897285,1861.9431084331486,-2291.3089382889693,-0.0,-0.0,312.54972927615546,0.0,1.0,0.10498427894652082,0.0,0,0.6229903547036888,65.99961422222222,-141.05832539895613,0.1915123030367423,8.919812879139378,0.0026408411695244367,-40.00070955893234,1.2239917063368022,0.8438971779993982,-6122.117603383325,118.9679091935965,0.4163020465516244,2230.140642317302,-368.19753388415353
2025-01-01 00:09:00,0.3098805430061639,0.18714114271872573,0.0,0.005164675716769399,0.0031190190453120954,0.0,0.023454714565672975,0.23642582844049098,0.0,0.05,0.0,0.0,0.0,0.1725578093853924,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0,0,Off,0.005086641081871345,0.0,On,0.01836807348380163,0,On,0.006348749259967731,0,On,0.19043468503186753,0.1428260137739006,On,0,0,Off,Off,0.0,20.000000000000057,0.0,0.0,0.0,0.0,0,0.0,26903.63492888889,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,12871.6832,Off,0.0,0,83.70521473835389,51.666666666666686,46.10666666666668,0.0,50.63967381608252,0.0,0.0,0.0,130.78939802867794,50.64585290722155,50.648942452791076,50.63967381608252,12.43753247303448,19.45126016199872,-0.0487398380013353,8.322540727426402,-1.2717321909832908,2.8,9.236100170605994,-2093.5675679189626,-5950.909131637714,1841.2519626094502,-2272.3145765585205,-0.0,-0.0,312.54972927615546,0.0,1.0,0.10471374598733255,0.0,0,0.6213849769662316,65.99961422222222,-133.80272063659757,0.19265167497119579,8.874799910816485,0.0026407533625110893,-39.72608585087805,1.2243930236018783,0.8435747764505565,-6071.278634826079,120.36950318836571,0.41564558151859105,2205.5658340330892,-364.3138714236391
