Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.79917917947479,51.666666666666686,46.10666666666668,0.0,49.36201272187819,0.0,0.0,0.0,37.79917917947479,47.606039250756,49.36201272187819,46.72805251519491,12.43753247303448,15.169670179524207,0.0,2.8,-36.532674807174544,-238.0413877090124,-0.0,-0.0,159.12357492211055,0.0,1.0,0.014766470481663513,0.0,0.0,0.376665879086181,65.99961422222222,42.38513797972732,0.2836258020810423,7.20902302955704,0.002975644669945645,23.041243956876375,1.2387059425415416
2025-01-01 00:01:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.8199915242969,51.666666666666686,46.10666666666668,0.0,49.35600220672339,0.0,0.0,0.0,37.8199915242969,47.60073445263594,49.35600220672339,46.72310057559222,12.43753247303448,15.146456417432791,0.0,2.8,-46.9634739111776,-237.45419793722226,-0.0,-0.0,159.12357492211055,0.0,1.0,0.014757740594501427,0.0,0.0,0.37644319549863625,65.99961422222222,31.367149103934125,0.2848998371651376,7.220175337256125,0.0029758595025594445,23.04837534653279,1.2424242345466696
2025-01-01 00:02:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.840785226490134,51.666666666666686,46.10666666666668,0.0,49.3499887558858,0.0,0.0,0.0,37.840785226490134,47.59542673367765,49.3499887558858,46.718145722573574,12.43753247303448,15.12325575731021,0.0,2.8,-57.550916577735194,-236.8678634837817,-0.0,-0.0,159.12357492211055,0.0,1.0,0.014749015394701304,0.0,0.0,0.3762206314771934,65.99961422222222,20.193371983935954,0.2853458428558472,7.208775372623473,0.002976073758521153,23.05553645109552,1.2425240661214687
2025-01-01 00:03:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.861571595809124,51.666666666666686,46.10666666666668,0.0,49.34397237213963,0.0,0.0,0.0,37.861571595809124,47.59011609649746,49.34397237213963,46.71318795867638,12.43753247303448,15.100058481103229,0.0,2.8,-68.2329578340107,-236.28213831154287,-0.0,-0.0,159.12357492211055,0.0,1.0,0.01474029123385881,0.0,0.0,0.3759980939576753,65.99961422222222,8.925605555421598,0.28579256536654457,7.197915894648915,0.002976288063832038,23.06270507872691,1.2426238991420706
2025-01-01 00:04:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.882358051755205,51.666666666666686,46.10666666666668,0.0,49.337953056578044,0.0,0.0,0.0,37.882358051755205,47.584802542124486,49.337953056578044,46.70822728489771,12.43753247303448,15.076858212817259,0.0,2.8,-72.28612826116941,-235.69686153377074,-0.0,-0.0,159.12357492211055,0.0,1.0,0.014731565720156811,0.0,0.0,0.3757755219291649,65.99961422222222,4.287158350490763,0.2862401233366806,7.187050415595473,0.002976502418553843,23.069885950327777,1.242723761096106
2025-01-01 00:05:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.902768193499845,51.666666666666686,46.10666666666668,0.0,49.33193080919144,0.0,0.0,0.0,37.902768193499845,47.579486070546565,49.33193080919144,46.70326370122413,12.43753247303448,15.053978467326482,-0.001577088229117507,2.8,-72.38411737482377,-235.12018391898778,-0.0,-0.0,159.12357492211055,0.0,1.0,0.014722960536673378,0.0,0.0,0.3755560193062795,65.99961422222222,3.6124916220534473,0.28668254792056835,7.175818403485644,0.002976716822787429,23.07683876425893,1.242822256898569
2025-01-01 00:06:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.92259439926746,51.666666666666686,46.10666666666668,0.0,49.32590568591526,0.0,0.0,0.0,37.92259439926746,47.574166734576245,49.32590568591526,46.69829725890674,12.43753247303448,15.03159774756008,-0.023957807995520497,2.8,-71.56567107027192,-234.55657737782087,-0.0,-0.0,159.12357492211055,0.0,1.0,0.014714542836480247,0.0,0.0,0.3753412990420792,65.99961422222222,3.867331385438412,0.2871165098956343,7.165399756942832,0.002976931274641246,23.083430705111542,1.2429186160185635
2025-01-01 00:07:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.941810876563686,51.666666666666686,46.10666666666668,0.0,49.3198777735434,0.0,0.0,0.0,37.941810876563686,47.56884461616404,49.3198777735434,46.69332803747437,12.43753247303448,15.009738304181392,-0.04581725137420811,2.8,-70.56670126301768,-234.00656899597078,-0.0,-0.0,159.12357492211055,0.0,1.0,0.014706321007439259,0.0,0.0,0.3751315750957058,65.99961422222222,4.3162928108425405,0.28754155163102746,7.154727583490903,0.002977145771123175,23.089644957079226,1.2430127414788632
2025-01-01 00:08:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.96043448185901,51.666666666666686,46.10666666666668,0.0,49.31384716270226,0.0,0.0,0.0,37.96043448185901,47.56351980088026,49.31384716270226,46.68835611996926,12.43753247303448,14.988385734735303,-0.06716982082029688,2.8,-69.58489496436161,-233.4697636395503,-0.0,-0.0,159.12357492211055,0.0,1.0,0.014698289650621301,0.0,0.0,0.3749267097502702,65.99961422222222,4.761293753078164,0.2879578934522396,7.144334004888641,0.0029773603091025162,23.09549194228893,1.2431046943985697
2025-01-01 00:09:00,0.1462019655079644,0.07580716210792292,0.0,0.0024366994251327403,0.0012634527017987153,0.0,0.01287140510490653,0.0,0.08333056040305788,0.0,0.05,0.0,0.0,0.0,0.06122382877458958,0,0.01458333333333334,1,0.03766027444122292,0.02824520583091718,On,0,0,Off,0.004278193530701754,0.0,On,0.008593211574204777,0,On,0.0016987887036050756,0,On,0.04397149725822988,0.0329786229436724,On,0,0,Off,Off,0.0,15.5555555555556,0.0,0.0,0.0,0.0,0,0.0,3531.213817777778,Off,0.0,20.000000000000057,0.0,0.0,0.05,0.0,0.0,0.0,0,0.0,3324.9957853610254,Off,0.0,0.0,37.97849238328523,51.666666666666686,46.10666666666668,0.0,49.30781394151168,0.0,0.0,0.0,37.97849238328523,47.558192371929486,49.30781394151168,46.68338158713839,12.43753247303448,14.967516771833798,-0.0880387837218013,2.8,-68.87975348098962,-232.94554553241997,-0.0,-0.0,159.12357492211055,0.0,1.0,0.01469044003117518,0.0,0.0,0.3747264801955613,65.99961422222222,4.9422171293198005,0.28836592297947894,7.134743476046821,0.0029775748855357847,23.100988690037305,1.2431945742077783
