Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.70051453596493,51.666666666666686,46.10666666666668,0.0,51.041765333579576,0.0,0.0,0.0,45.70051453596493,51.05105960587513,51.05570674202292,51.041765333579576,12.43753247303448,11.772604844201888,0.0,-2.799999999904694,-1.2039638543066353,-2.3704850937212374,2.8,9.236100170605994,112.68386990203504,239.19381485696897,4320.826194197916,4332.208141448809,-787.7705028698277,-0.0,-0.0,752.668375547705,0.0,2.0,0.06736953061310373,0.0,0,0.3234470194420534,131.99922844444444,147.78599722415788,0.31500562472451676,5.087784065635088,0.0026470198762462743,49.728617712328635,1.2537233324710613,0,0,239.19381485696897,0.8155251818495999,4255.446902157262,65.3792920406543,0.7072324937485335,4765.529347799524,-433.321206350714
2025-01-01 00:01:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.72624666838199,51.666666666666686,46.10666666666668,0.0,51.03763486646695,0.0,0.0,0.0,45.72624666838199,51.04721139527069,51.05199965967257,51.03763486646695,12.43753247303448,11.746630294250606,0.0,-2.5602494123477735,-0.9898485188226278,-2.3297155676337264,2.8,9.236100170605994,113.67417437779511,229.3550720726899,4087.637731777552,4282.220687786478,-784.4598655525459,-0.0,-0.0,752.668375547705,0.0,2.0,0.06728117789665336,0.0,0,0.3230228303088442,131.99922844444444,145.4656643826361,0.31647869122565586,5.094188283923563,0.002647106100063024,49.79205344693991,1.2575001933917829,0,0,229.3550720726899,0.8155251818495999,4027.8832991267927,59.75443265075896,0.7060687418970851,4720.17306567675,-437.952377890272
2025-01-01 00:02:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.75149772137452,51.666666666666686,46.10666666666668,0.0,51.03350211713115,0.0,0.0,0.0,45.75149772137452,51.04336101789272,51.04829046827352,51.03350211713115,12.43753247303448,11.721067045501066,-0.001155176721219675,-2.32925491867954,-0.7881954466784504,-2.289850470779334,2.8,9.236100170605994,114.55475908138249,220.7703119292621,3868.4517186025437,4234.231292936999,-781.2070478009687,-0.0,-0.0,752.668375547705,0.0,2.0,0.06719418604553777,0.0,0,0.32260517480934736,131.99922844444444,143.09343133464623,0.3170240292884148,5.081490283783876,0.0026471921745694045,49.8543076282493,1.2576129713403452,0,0,220.7703119292621,0.8155251818495999,3813.5646957649165,54.887022837627335,0.7049289489087655,4675.930221838202,-441.6989289012024
2025-01-01 00:03:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.77628208803984,51.666666666666686,46.10666666666668,0.0,51.02936712908617,0.0,0.0,0.0,45.77628208803984,51.039508514250514,51.0445792068327,51.02936712908617,12.43753247303448,11.695902768121625,-0.026319454100660167,-2.106411936829324,-0.5982457662855758,-2.250748803928071,2.8,9.236100170605994,115.26762582554494,212.42550669995802,3661.9705106183446,4191.150376821348,-778.0102298575799,-0.0,-0.0,752.668375547705,0.0,2.0,0.06710851490487553,0.0,0,0.3221938601564587,131.99922844444444,140.60948013541997,0.31756205214434163,5.068057406231789,0.0026472783489648326,49.91536309630327,1.257724007813192,0,0,212.42550669995802,0.8155251818495999,3611.6845568809954,50.28595373734934,0.7038091901734642,4632.6378912951695,-441.48751447382165
2025-01-01 00:04:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.80061497762298,51.666666666666686,46.10666666666668,0.0,51.02522994454423,0.0,0.0,0.0,45.80061497762298,51.03565392364138,51.04086591318996,51.02522994454423,12.43753247303448,11.671124429603081,-0.05109779261920444,-1.8912392353850795,-0.41930209387725315,-2.212257980133951,2.8,9.236100170605994,117.35021699958457,204.4197921957592,3467.4616624186283,4149.676225592061,-774.8675167394459,-0.0,-0.0,752.668375547705,0.0,2.0,0.06702412182622713,0.0,0,0.3217886815912832,131.99922844444444,139.5493581913256,0.31809298824332943,5.055802817523631,0.0026473646212790292,49.97525883690621,1.2578333594380766,0,0,204.4197921957592,0.8155251818495999,3421.501697065318,45.95996535331071,0.7027051814820641,4590.121947543285,-440.44572195122447
2025-01-01 00:05:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.82449486971977,51.666666666666686,46.10666666666668,0.0,51.021090604341964,0.0,0.0,0.0,45.82449486971977,51.031797284081925,51.03715062395191,51.021090604341964,12.43753247303448,11.646733374944887,-0.07548884727739846,-1.683327285272313,-0.2507073091515247,-2.174276768233353,2.8,9.236100170605994,120.81561666262417,196.74823418089363,3284.210648048999,4110.2182024890035,-771.7788466869072,-0.0,-0.0,752.668375547705,0.0,2.0,0.06694101305944633,0.0,0,0.3213896691199164,131.99922844444444,139.9260878018264,0.31861676568143854,5.042809893391996,0.0026474509896061323,50.03398848246297,1.257941019391289,0,0,196.74823418089363,0.8155251818495999,3242.317723261635,41.89292478736398,0.7016140868384936,4548.266437450699,-438.04823496169575
2025-01-01 00:06:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.84792062828845,51.666666666666686,46.10666666666668,0.0,51.01694914945304,0.0,0.0,0.0,45.84792062828845,51.027938633716786,51.033433375848674,51.01694914945304,12.43753247303448,11.622730618675972,-0.09949160354631381,-1.4823198321401831,-0.09184311367041917,-2.1367133438472146,2.8,9.236100170605994,125.30943465776164,189.4076937482052,3111.545283127482,4072.407469857434,-768.7441184829445,-0.0,-0.0,752.668375547705,0.0,2.0,0.06685919370950004,0.0,0,0.32099684725175176,131.99922844444444,141.38517759300123,0.31913331983748444,5.030038802480661,0.002647537452030627,50.0915467190588,1.2580469823184532,0,0,189.4076937482052,0.8155251818495999,3073.475502621548,38.069780505934354,0.7005333226061302,4506.966816043864,-434.5593461864301
2025-01-01 00:07:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.870894427078824,51.666666666666686,46.10666666666668,0.0,51.01280562095338,0.0,0.0,0.0,45.870894427078824,51.02407801078628,51.029714205702746,51.01280562095338,12.43753247303448,11.599114330918118,-0.12310789130416744,-1.287900029333413,0.05787207049634824,-2.0994918202125046,2.8,9.236100170605994,129.36893133919386,182.39087207478798,2948.8334804781266,4035.9585285980534,-765.7628747195674,-0.0,-0.0,752.668375547705,0.0,2.0,0.06677865915927032,0.0,0,0.32061019381960154,131.99922844444444,142.4634305110564,0.31964264660699837,5.018442066580757,0.002647624006629058,50.1479372528329,1.2581512554436258,0,0,182.39087207478798,0.8155251818495999,2914.3569291651197,34.476551313006944,0.6994607482466136,4466.136958415549,-430.1784298174959
2025-01-01 00:08:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.89343378994827,51.666666666666686,46.10666666666668,0.0,51.00866005972194,0.0,0.0,0.0,45.89343378994827,51.02021545334767,51.02599315016054,51.00866005972194,12.43753247303448,11.575869488639926,-0.14635273358235956,-1.0997810443873404,0.19898520088825508,-2.062549765625902,2.8,9.236100170605994,133.34712297272756,175.6883105422924,2795.4807874939866,4000.6305398139502,-762.8330011505859,-0.0,-0.0,752.668375547705,0.0,2.0,0.06669935973857458,0.0,0,0.3202294703525668,131.99922844444444,143.51174857560855,0.32014502215555135,5.006102589114709,0.0026477106514847326,50.20320563973745,1.2582539043126113,0,0,175.6883105422924,0.8155251818495999,2764.380691758765,31.100095735221753,0.6983945983375143,4425.706228505198,-425.0756886912477
2025-01-01 00:09:00,0.7811085937014398,0.3921468808683725,0.0,0.013018476561690664,0.006535781347806208,0.0,0.11599080388851805,0.0,0.6651177898129218,0.0,0.0,0.0,0.3921468808683725,0.0,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.03464309210526316,0.0,On,0.0023720440415925647,0.0,On,0.07897566774166233,0,On,0.014160833385929064,0,On,0.46207139993833657,0.3465535499537523,On,0.06674360853043307,0,On,0.06135084007206281,0,On,0,0,Off,Off,0.0,12.222222222222285,0.0,0.0,0.0,0.0,0,0.0,12279.093413333334,Off,0.0,0.0,45.91555179815543,51.666666666666686,46.10666666666668,0.0,51.00451250505284,0.0,0.0,0.0,45.91555179815543,51.0163509979826,51.02227024444749,51.00451250505284,12.43753247303448,11.55298488554528,-0.16923733667700525,-0.9176995443103342,0.332010602516443,-2.025836324529221,2.8,9.236100170605994,136.95598065122692,169.28928104211798,2650.928220975642,3966.218789921561,-759.9528782335591,-0.0,-0.0,752.668375547705,0.0,2.0,0.06662125870010654,0.0,0,0.3198545004236106,131.99922844444444,144.2404833370811,0.32064064440477136,4.993968925556066,0.002647797384755986,50.25738546265617,1.2583549776577545,0,0,169.28928104211798,0.8155251818495999,2623.000161398077,27.928059577564834,0.6973334312973651,4385.617250688161,-419.3984607666003
