Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),Well Pump Mode,Gas Fireplace Gas Power (therms/hour),Gas Fireplace Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,94.837642495773,51.666666666666686,46.10666666666668,0.0,52.19528739150783,0.0,0.0,0.0,148.1838163996453,52.21486516744862,52.224654055419016,52.19528739150783,12.43753247303448,16.0979611485695,0.0,-2.72155805563058,2.8,9.236100170605994,-29.75489411649812,272.7930404449122,-950.7464419889336,-0.0,-0.0,778.7346015848125,0.0,4.0,0.054860782410673506,0.0,0.0,0.2633914232963346,263.9984568888889,142.25694628762307,0.2520536412290725,7.456208550073134,0.0028057289013946355,163.1693356462231,1.2348571108370374,0,0,272.7930404449122
2025-01-01 00:01:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,94.98105929683484,51.666666666666686,46.10666666666668,0.0,52.182582324429475,0.0,0.0,0.0,148.40790515130445,52.203044080219485,52.2132749581145,52.182582324429475,12.43753247303448,16.031490591494222,0.0,-2.463076130471571,2.8,9.236100170605994,-109.19298550131748,262.42473998752797,-944.0738570363173,-0.0,-77.07599409986568,778.7346015848125,0.0,4.0,0.054749423086603535,0.0,0.004469847543539987,0.2843169071320002,263.9984568888889,133.22226405005327,0.253891255577585,7.44633507005943,0.0028060161410536594,156.87713854280312,1.2387487440651017,0,0,262.42473998752797
2025-01-01 00:02:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,95.12212308077834,51.666666666666686,46.10666666666668,0.0,52.16985838121385,0.0,0.0,0.0,148.62831731371614,52.19120511672867,52.20187848448609,52.16985838121385,12.43753247303448,15.965898198739684,0.0,-2.213925736621494,2.8,9.236100170605994,-106.33324960529694,253.38844994916366,-937.5073501779506,-0.0,-70.31996099897339,778.7346015848125,0.0,4.0,0.054639477377077604,0.0,0.004098363514089868,0.28200552077194313,263.9984568888889,122.75945998681462,0.2549825538531393,7.415038409946719,0.002806291436479938,157.51522266719633,1.2390295760277805,0,0,253.38844994916366
2025-01-01 00:03:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,95.25910757984619,51.666666666666686,46.10666666666668,0.0,52.15711587767225,0.0,0.0,0.0,148.84235559350967,52.1793485702692,52.190464916567684,52.15711587767225,12.43753247303448,15.901841663516535,0.0,-1.973482997310151,2.8,9.236100170605994,-103.84789865608684,244.63899815397076,-931.1118017764388,-0.0,-63.731005275774876,778.7346015848125,0.0,4.0,0.054532051069686956,0.0,0.003732508199112579,0.27973325423366574,263.9984568888889,112.26030681131425,0.25605403685852596,7.3845670061665025,0.0028065677889956174,158.1422698998142,1.2393039496617928,0,0,244.63899815397076
2025-01-01 00:04:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,95.39227685544212,51.666666666666686,46.10666666666668,0.0,52.14435536100968,0.0,0.0,0.0,149.05043258662832,52.16747494930567,52.17903474345366,52.14435536100968,12.43753247303448,15.839220935596067,0.0,-1.7412482223484582,2.8,9.236100170605994,-93.95157685705192,236.27034216735655,-924.8760558042763,-0.0,-57.29823297537476,778.7346015848125,0.0,4.0,0.05442698036762939,0.0,0.0033718786227400544,0.27749738639191707,263.9984568888889,109.48811033778676,0.25710702234593563,7.354280975175807,0.0028068451802078834,158.75908012578242,1.2395722854607942,0,0,236.27034216735655
2025-01-01 00:05:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,95.52165293780492,51.666666666666686,46.10666666666668,0.0,52.13157734301898,0.0,0.0,0.0,149.2525827153202,52.15558472938858,52.167588422573374,52.13157734301898,12.43753247303448,15.77802810228343,0.0,-1.516793581455617,2.8,9.236100170605994,-78.23750246940438,228.2729791494702,-918.7982244028851,-0.0,-51.020263179967706,778.7346015848125,0.0,4.0,0.05432425574351375,0.0,0.0030165903149096686,0.2752984261742093,263.9984568888889,112.84638352863595,0.25814134014538237,7.324765914445873,0.002807123593060671,159.36548882404725,1.2398346094658863,0,0,228.2729791494702
2025-01-01 00:06:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,95.6472695711085,51.666666666666686,46.10666666666668,0.0,52.1187823325256,0.0,0.0,0.0,149.44885870485703,52.14367838332247,52.15612640872091,52.1187823325256,12.43753247303448,15.718250787310467,0.0,-1.2997445178644003,2.8,9.236100170605994,-61.26780097884182,220.63949287362578,-912.876009441517,-0.0,-44.895274129339164,778.7346015848125,0.0,4.0,0.05422386004278587,0.0,0.002666731336779368,0.27313671400936024,263.9984568888889,117.76888100720188,0.2591569006023108,7.296015798521898,0.0028074030102295893,159.9613813156591,1.2400909671098703,0,0,220.63949287362578
2025-01-01 00:07:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,95.7692527075749,51.666666666666686,46.10666666666668,0.0,52.10597083381744,0.0,0.0,0.0,149.6394573555858,52.13175637970583,52.14464915265003,52.10597083381744,12.43753247303448,15.65984149537899,0.0,-1.0897658768640142,2.8,9.236100170605994,-44.34529675547117,213.35877063573037,-907.1036817891822,-0.0,-38.917870597115574,778.7346015848125,0.0,4.0,0.0541257169481065,0.0,0.0023221795815090416,0.27101129724549866,263.9984568888889,122.94165404601418,0.2601542071976442,7.26800498937194,0.0028076834142045496,160.54702961018,1.2403415549081145,0,0,213.35877063573037
2025-01-01 00:08:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,95.88774264686283,51.666666666666686,46.10666666666668,0.0,52.0931433342847,0.0,0.0,0.0,149.82459788572316,52.11981917143776,52.1331570900143,52.0931433342847,12.43753247303448,15.60274725155622,0.0,-0.8865525965421195,2.8,9.236100170605994,-28.06340758544809,206.4179540899637,-901.4750409321438,-0.0,-33.08213282591533,778.7346015848125,0.0,4.0,0.0540297406880232,0.0,0.001982771543117508,0.26892097907982393,263.9984568888889,127.75916458779861,0.2611338727975309,7.240126921348644,0.0028079647879327026,161.1227792458828,1.24058659340986,0,0,206.4179540899637
2025-01-01 00:09:00,0.6677514590430086,0.27315089355407113,0.010538779241634289,0.011129190984050142,0.004552514892567852,0.00017564632069390481,0.026030806367013052,0.5917206526759956,0.0,0.05,0.0,0.010538779241634289,0.0,0.0,0.2585675602207378,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06438364263533634,0.04828773197650224,On,0.0,0,Off,0.005773848684210526,0.0,On,0.020256957682802525,0,On,0.009144121565698314,0,On,0.2803731043256475,0.21027982824423555,On,0.06917762784252252,0,On,0.010538779241634289,On,0.08787099039082978,0,On,0.08077116591596112,0,On,0,0,Off,Off,0.0,14.777777777777828,0.0,0.0,0.0,0.0,0,0.0,22429.90441777778,Off,0.0,15.777777777777828,0,0.0,0.05,0.0,0.0,0,0,0,13736.53604888889,Off,0.0,0,96.00287997821677,51.666666666666686,46.10666666666668,0.0,52.08030030249709,0.0,0.0,0.0,150.0044999659637,52.10786719392964,52.12165063964592,52.08030030249709,12.43753247303448,15.546914953231063,0.0,-0.6898233110399536,2.8,9.236100170605994,-12.364677689227847,199.80331465338304,-895.9839446417185,-0.0,-27.38216461742359,778.7346015848125,0.0,4.0,0.0539358450300744,0.0,0.0016483333169367367,0.26686451057118327,263.9984568888889,132.2668299851017,0.262096531134388,7.213510138370673,0.0028082471149403405,161.68899194858494,1.2408263042227927,0,0,199.80331465338304
