Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.18871138884716954,0.1154085230498056,0.0,0.0031451898141194924,0.0019234753841634268,0.0,0.019812381799015538,0.158899007048154,0.0,0.010000000000000002,0.0,0.0,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,93.24072800108493,51.666666666666686,46.10666666666668,0.0,50.65601774482007,0.37558128804453644,1000.723346205298,0.0,145.6886375016952,50.69262659495776,50.71093102002661,50.65601774482007,12.43753247303448,15.89495198231555,-0.04949246212893499,6.920183340896592,-0.7284701655380055,-1.672097868212287,2.8,9.236100170605994,-740.1661597631205,-2770.630385702647,2516.314226156489,1750.8449705242476,-1022.7847674745261,-0.0,-0.0,369.1333593011984,0.0,3.0,0.059932540728903895,0.0,0,0.5609092848798451,197.99884266666666,-86.51475158979278,0.27561754336894184,7.625686349317206,0.003029571379729236,27.532545298257162,1.2355575511322383,0.5283337831449294,-2836.890515321964,66.26012961931683,0.5436834545663999,2500.0587720329127,16.255454123576353,0.3460306325231033,2016.710213236132,-265.86524271188404
2025-01-01 00:01:00,0.18871138884716954,0.1154085230498056,0.0,0.0031451898141194924,0.0019234753841634268,0.0,0.019812381799015538,0.158899007048154,0.0,0.010000000000000002,0.0,0.0,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,93.15952691867693,51.666666666666686,46.10666666666668,0.0,50.62552310229133,0.37588120477046716,1000.7233462052978,0.0,145.5617608104327,50.57831050102473,50.62552310229133,50.55470420039143,12.43753247303448,15.81377038637089,-0.13067405807359478,6.914058356011879,-0.5151287169640936,-1.6215410286170762,2.8,9.236100170605994,-734.7272142748627,-2766.027189049058,2364.3697554303567,1722.6327508598351,-1013.9042550017039,-0.0,-0.0,369.1333593011984,0.0,3.0,0.0597827865115212,0.0,0,0.5595077335696842,197.99884266666666,-89.95631857435735,0.27787059511292506,7.608587557321069,0.003029665806742954,27.835501569923508,1.2395148361646244,0.5283050445762311,-2832.519166266493,66.49197721743485,0.5436834545663999,2348.8980324141635,15.471723016193149,0.34539288283232655,1990.2365400438664,-267.6037891840312
2025-01-01 00:02:00,0.18871138884716954,0.1154085230498056,0.0,0.0031451898141194924,0.0019234753841634268,0.0,0.019812381799015538,0.158899007048154,0.0,0.010000000000000002,0.0,0.0,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,93.07318118077455,51.666666666666686,46.10666666666668,0.0,50.59500115430963,0.37618187006551423,1000.723346205298,0.0,145.42684559496024,50.46400705878058,50.59500115430963,50.398510011016064,12.43753247303448,15.734517328625614,-0.20992711581887136,6.908217565044476,-0.31505306327475724,-1.5727013381773052,2.8,9.236100170605994,-729.7998952620533,-2761.7459053582247,2221.9406783384493,1695.3412201871568,-1005.2637285442177,-0.0,-0.0,369.1333593011984,0.0,3.0,0.05963649816663138,0.0,0,0.5581386193969752,197.99884266666666,-93.66952601903404,0.2792926132953117,7.570685596211211,0.003029760968005194,28.130979588374885,1.2398548155655693,0.5282776379956056,-2828.3510635263438,66.60515816811913,0.5436834545663999,2207.1366260229106,14.804052315538723,0.34477567387790004,1964.7354593689777,-269.3942391818209
2025-01-01 00:03:00,0.18871138884716954,0.1154085230498056,0.0,0.0031451898141194924,0.0019234753841634268,0.0,0.019812381799015538,0.158899007048154,0.0,0.010000000000000002,0.0,0.0,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,Off,0.0,16.444444444444485,0.0,0.0,0.0,0.0,0,0.0,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,92.98189706772544,51.666666666666686,46.10666666666668,0.0,50.564452776863085,0.37648327772350837,1000.7233462052978,0.0,145.284214168321,50.34971706979815,50.564452776863085,50.24234921626569,12.43753247303448,15.657116738818441,-0.28732770562604415,6.902662021818522,-0.12738657415024174,-1.5254441788245443,2.8,9.236100170605994,-725.344219196229,-2757.702297081869,2088.351374524833,1669.7671260547293,-996.852876921716,-0.0,-0.0,369.1333593011984,0.0,3.0,0.05949354222957541,0.0,0,0.5568006932645574,197.99884266666666,-97.62470157571136,0.2806895651730731,7.533205292741915,0.003029857113047415,28.41921615536252,1.2401870259585848,0.5282515685555722,-2824.386899264138,66.684602182269,0.5436834545663999,2074.1675968570294,14.183777667803525,0.34417741045871836,1940.129531554322,-270.36240549959285
2025-01-01 00:04:00,1.0677655555138361,0.1154085230498056,0.7534750000000001,0.017796092591897267,0.0019234753841634268,0.012557916666666669,0.019812381799015538,0.158899007048154,0.8790541666666667,0.010000000000000002,0.0,0.7534750000000001,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,On,15419.421071297167,16.444444444444485,0.7999999999999999,3125.373530925053,22.082175544444446,0.8790541666666667,1,17665.740435555555,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,92.88587288843941,51.666666666666686,46.10666666666668,0.0,50.53387881156023,0.3767854218338108,1000.7233462052981,0.0,145.13417638818657,50.23544130351035,50.53387881156023,50.08622254948541,12.43753247303448,15.581495485170322,-0.3629489592741635,6.897388429656246,0.04866823773893396,-1.4796232471320583,2.8,9.236100170605994,14702.31041641593,371.51241750456893,1963.0368398836683,1645.3277686267825,-988.6618578581172,-0.0,-0.0,369.1333593011984,0.0,3.0,0.05935379012665612,0.0,0,0.5554927518498343,197.99884266666666,-97.5821563243168,0.2820622626942347,7.4966646500667045,0.003029954217195751,28.70048988401554,1.2405117689246798,0.5282268209833072,-2820.6242643912024,66.76315097071839,0.5436834545663999,1949.425894030409,13.610945853259452,0.34359633463376416,1916.3362378312881,-271.0084692045056
2025-01-01 00:05:00,1.0677655555138361,0.1154085230498056,0.7534750000000001,0.017796092591897267,0.0019234753841634268,0.012557916666666669,0.019812381799015538,0.158899007048154,0.8790541666666667,0.010000000000000002,0.0,0.7534750000000001,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,On,15419.421071297167,16.444444444444485,0.7999999999999999,3125.373530925053,22.082175544444446,0.8790541666666667,1,17665.740435555555,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,92.0341071717468,51.666666666666686,46.10666666666668,0.0,50.503280066958226,0.3770882967704977,1000.7233462052978,0.0,143.80329245585438,50.121180498452205,50.503280066958226,49.930130714199194,12.43753247303448,15.787529655016995,-0.15691478942749093,7.005161292781318,0.21385719972150505,-1.435117109910348,2.8,9.236100170605994,14668.330659918787,292.1767426525266,1845.4650640022817,1621.7985231844398,-1011.0401949489329,-0.0,-0.0,369.1333593011984,0.0,3.0,0.0597343603644899,0.0,0,0.5590545127455633,197.99884266666666,-109.18357573064519,0.2783729763006784,7.596495770080321,0.0030300522567420734,27.86590077663621,1.239627117525255,0.5287323404590124,-2897.5850044617523,64.38821618922628,0.5436834545663999,1832.38306978293,13.081994219351577,0.3430309899595697,1893.286911474555,-271.48838829011487
2025-01-01 00:06:00,1.0677655555138361,0.1154085230498056,0.7534750000000001,0.017796092591897267,0.0019234753841634268,0.012557916666666669,0.019812381799015538,0.158899007048154,0.8790541666666667,0.010000000000000002,0.0,0.7534750000000001,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,On,15419.421071297167,16.444444444444485,0.7999999999999999,3125.373530925053,22.082175544444446,0.8790541666666667,1,17665.740435555555,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,91.1995578769064,51.666666666666686,46.10666666666668,0.0,50.47278238488813,0.37739065626633156,1000.7233462052981,0.0,142.49930918266625,50.0070524043695,50.47278238488813,49.774187414110195,12.43753247303448,15.987279415555847,0.0,7.105988973637437,0.36887769089867556,-1.3918185246371861,2.8,9.236100170605994,14636.621176812272,218.0104738150785,1735.1388312091995,1599.224822390833,-1032.9210469634309,-0.0,-0.0,369.1333593011984,0.0,3.0,0.06010273934704747,0.0,0,0.5625021755537493,197.99884266666666,-119.01220682266157,0.27484789261408593,7.693116104077956,0.003030147513301309,27.057752767153033,1.2387706530918672,0.5292048456392202,-2969.712297934295,62.349240824320354,0.5436834545663999,1722.545003813838,12.593827395361284,0.34248008876558766,1870.9210093487013,-271.69618695786835
2025-01-01 00:07:00,1.0677655555138361,0.1154085230498056,0.7534750000000001,0.017796092591897267,0.0019234753841634268,0.012557916666666669,0.019812381799015538,0.158899007048154,0.8790541666666667,0.010000000000000002,0.0,0.7534750000000001,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,On,15419.421071297167,16.444444444444485,0.7999999999999999,3125.373530925053,22.082175544444446,0.8790541666666667,1,17665.740435555555,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,90.38110385258253,51.666666666666686,46.10666666666668,0.0,50.44238291442322,0.3776925250008657,1000.7233462052981,0.0,141.2204747696602,49.89305433882494,50.44238291442322,49.618390051025806,12.43753247303448,16.181159897495547,0.0,7.200443426558878,0.5143818269705125,-1.3496264701384606,2.8,9.236100170605994,14605.57245534337,148.4029974654186,1631.5931665017936,1577.4842287988747,-1054.3326928323277,-0.0,-0.0,369.1333593011984,0.0,3.0,0.0604597380396811,0.0,0,0.5658433301077326,197.99884266666666,-128.64928242266637,0.27147426864341856,7.786217757802842,0.003030240071242967,26.274310983788524,1.23794048518085,0.5296471017842456,-3037.39094595237,60.4204124927361,0.5436834545663999,1619.4496467079914,12.143519793802179,0.3419424124835129,1849.1818778554525,-271.6976490565781
2025-01-01 00:08:00,1.0677655555138361,0.1154085230498056,0.7534750000000001,0.017796092591897267,0.0019234753841634268,0.012557916666666669,0.019812381799015538,0.158899007048154,0.8790541666666667,0.010000000000000002,0.0,0.7534750000000001,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,On,15419.421071297167,16.444444444444485,0.7999999999999999,3125.373530925053,22.082175544444446,0.8790541666666667,1,17665.740435555555,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,89.57788794801047,51.666666666666686,46.10666666666668,0.0,50.41207899137795,0.37799392597235243,1000.723346205298,0.0,139.96544991876635,49.779183794064316,50.41207899137795,49.46273619540751,12.43753247303448,16.36948802163382,0.0,7.2890117328496675,0.6509793696682195,-1.308450125987576,2.8,9.236100170605994,14575.275811243957,83.04575896238521,1534.393245521043,1556.5124582971482,-1075.2944992618336,-0.0,-0.0,369.1333593011984,0.0,3.0,0.060805982508831874,0.0,0,0.5690838357699813,197.99884266666666,-137.98412009257453,0.2682417281434582,7.87656119194908,0.0030303300094948055,25.514236321231408,1.23713515619091,0.5300614624996706,-3100.9489949635163,58.621223000848545,0.5436834545663999,1522.6649584895854,11.728287031457484,0.341416863529433,1828.018722808417,-271.50626451126874
2025-01-01 00:09:00,1.0677655555138361,0.1154085230498056,0.7534750000000001,0.017796092591897267,0.0019234753841634268,0.012557916666666669,0.019812381799015538,0.158899007048154,0.8790541666666667,0.010000000000000002,0.0,0.7534750000000001,0.0,0.11249185638313894,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0.0,0,Off,0.004021034356725146,0.0,On,0.0005348594811388885,0.0,On,0.015256487961151505,0,On,0.008909865203968702,0,On,0.10824103160911139,0.08118077370683352,On,On,15419.421071297167,16.444444444444485,0.7999999999999999,3125.373530925053,22.082175544444446,0.8790541666666667,1,17665.740435555555,17665.740435555555,Off,0.0,17.444444444444485,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1457.4426355555556,Off,0.0,0,88.78917113924138,51.666666666666686,46.10666666666668,0.0,50.38186809434892,0.37829488092091496,1000.723346205298,0.0,138.73307990506464,49.66543839588345,50.38186809434892,49.30722354665072,12.43753247303448,16.55253682044549,0.0,7.372123979164148,0.7792405822064686,-1.2682067410947833,2.8,9.236100170605994,14545.77563357933,21.64364978990625,1443.1326846120353,1536.1921267737332,-1095.8225030430388,-0.0,-0.0,369.1333593011984,0.0,3.0,0.0611420148578184,0.0,0,0.5722287660912088,197.99884266666666,-146.95629397599743,0.2651411788442719,7.964324921248243,0.003030417402826692,24.776369012306162,1.2363534061083947,0.5304500030320956,-3160.6769299681337,56.94704883298695,0.5436834545663999,1431.786885422774,11.345799189261257,0.3409024394019883,1807.3854258571168,-271.1932990833837
