Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Gas Fireplace Gas Power (therms/hour),Gas Fireplace Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.062109321660955e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.062109321660955e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.04551913572877,0.0,6.52797522938518,0.042834384866181255,2.8,9.236100170605994,-169.72424581974337,-412.19793214224694,1152.3717195051163,-860.455621088165,-0.0,-0.0,739.5878603715284,0.0,3.0,0.03618716822618301,0.0,0.0,0.10293037470484027,197.99884266666666,-48.85648510310682,0.17079401820195622,9.526033171641451,0.002590996864753479,163.58736458206744,1.2142475888989082,0.10873669091327998,-528.2831786520001,116.08524650975315,0.5026873268165379,1806.2524204641234,-653.8807009590071
2025-01-01 00:01:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.065477815293131e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.065477815293131e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,21.012179416585077,0.0,6.553484683361057,0.04287815439803857,2.8,9.236100170605994,-191.2110658911124,-416.27046265865425,1151.7880724859551,-858.0715210724823,-0.0,-20.816241560647676,739.5878603715284,0.0,3.0,0.03615296462308547,0.0,0.0008770467568799858,0.10532774830130384,197.99884266666666,-51.91116362951104,0.17165569434842523,9.535357699859457,0.0025911703707115373,162.93597106925557,1.2179324580268105,0.10873669091327998,-531.8980673255697,115.6276046669155,0.5026864206860365,1806.2204906665531,-654.432418180598
2025-01-01 00:02:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.068747235583184e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.068747235583184e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.97936515108569,0.0,6.57830969370863,0.04290617988486606,2.8,9.236100170605994,-188.24784344480122,-420.4537339058315,1152.2559697826432,-855.7275839423032,-0.0,-16.990110334377846,739.5878603715284,0.0,3.0,0.03611928682423231,0.0,0.0007171332090471951,0.1047770992499757,197.99884266666666,-55.118009539648625,0.17201368001044592,9.520872253268154,0.002591342662926887,163.06082792887423,1.2180682088042827,0.10873669091327998,-535.4159649964316,114.96223109060014,0.5026858404928085,1806.2000461737273,-653.9440763910842
2025-01-01 00:03:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.0719671192021757e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0719671192021757e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.947192888551086,0.0,6.602463481139865,0.042985891885061106,2.8,9.236100170605994,-185.69341027904557,-424.52178083451133,1153.9086791597026,-853.4319993294174,-0.0,-13.24180796803654,739.5878603715284,0.0,3.0,0.03608625513407776,0.0,0.0005599125192710116,0.1042359475181696,197.99884266666666,-58.60746335312018,0.1723657018961494,9.505959904858514,0.002591515067952462,163.1833786008431,1.2182013304991588,0.10873669091327998,-538.8387451426296,114.31696430811827,0.5026841902640152,1806.1418967720313,-652.2332176123286
2025-01-01 00:04:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.075137466150105e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.075137466150105e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.915639734175773,0.0,6.6259677364273,0.043181150668467505,2.8,9.236100170605994,-180.2912341544436,-428.44507339756683,1156.1323658753936,-851.182989645473,-0.0,-9.568495700449759,739.5878603715284,0.0,3.0,0.03605384677830004,0.0,0.0004052960198682151,0.10370397612149866,197.99884266666666,-59.12760918004929,0.17271195840125883,9.492148763083662,0.0025916875836973666,163.30370171445185,1.2183319162327508,0.10873669091327998,-542.1694815158813,113.72440811831451,0.5026801479179418,1805.999458086629,-649.8670922112352
2025-01-01 00:05:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.078208739755913e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.078208739755913e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.884701585224636,0.0,6.648845212351331,0.04354120475080121,2.8,9.236100170605994,-172.45251762248574,-432.25532347280443,1158.6642914945319,-848.9801242120268,-0.0,-5.969531358150703,739.5878603715284,0.0,3.0,0.036022058246400986,0.0,0.00025328603126793385,0.10318118167494386,197.99884266666666,-57.09072242383675,0.17305245068084024,9.47789835311672,0.002591860208142028,163.42179328402403,1.2184599813667243,0.10873669091327998,-545.4113983627041,113.15607488989966,0.502672693811017,1805.736808510801,-647.072517016269
2025-01-01 00:06:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.0812304766906586e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0812304766906586e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.85437222311927,0.0,6.671117340928877,0.04410674648523934,2.8,9.236100170605994,-161.7333087475788,-435.9732193731385,1161.4789552149368,-846.8228257264421,-0.0,-2.444031415100992,739.5878603715284,0.0,3.0,0.035990883833908194,0.0,0.00010387397230567521,0.1026675235446002,197.99884266666666,-52.05431197756408,0.17338720347683567,9.464741939596916,0.002592032939261812,163.53765916234983,1.2185855500778529,0.10873669091327998,-548.5675327671252,112.59431339398665,0.5026609853229892,1805.3242746514568,-643.8453194365198
2025-01-01 00:07:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.084202676954343e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.084202676954343e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.824648422395306,0.0,6.692804515882063,0.044913984696878226,2.8,9.236100170605994,-153.56465813131376,-439.60456926737277,1164.6875937697862,-844.7107338085515,-0.0,-0.0,739.5878603715284,0.0,3.0,0.03596032089285802,0.0,0.0,0.1022851326987791,197.99884266666666,-48.44178469429082,0.17371621072445842,9.451143395433075,0.0025922057750361414,163.61898561691305,1.2187086341864073,0.10873669091327998,-551.6407746786978,112.03620541132501,0.5026442724871919,1804.7354637382025,-640.0478699684163
2025-01-01 00:08:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.0871253405469666e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.0871253405469666e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.795497388143996,0.0,6.713926539358448,0.04599703466337987,2.8,9.236100170605994,-147.8321247478441,-443.15094825434426,1167.7308814653784,-842.6413934968142,-0.0,-0.0,739.5878603715284,0.0,3.0,0.035930336338073604,0.0,0.0,0.1021998449680557,197.99884266666666,-44.77859162255831,0.17403978182018717,9.437852624666974,0.002592378679296512,163.62179813111055,1.2188293681869014,0.10873669091327998,-554.6339302162432,111.48298196189901,0.5026218484484279,1803.9455239543872,-636.2146424890087
2025-01-01 00:09:00,0.6255693558303697,0.16339100423408903,0.011438932531264902,0.010426155930506161,0.002723183403901484,0.0001906488755210817,0.18229404627502016,0.006998,0.3862773095553495,0.0,0.05,0.0,0.011438932531264902,0.0,0.0,0,0.1488076709007557,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03331151295840272,0.024983634718802033,On,0.0,0,Off,0.04949851973684211,0.0,On,0.002466501606177841,0.0,On,0.13032902493200021,0,On,0.004820620262674254,0,On,0.1650987149092716,0.12382403618195367,On,0.011438932531264902,On,0.09537635313255277,0,On,0.08767010829244815,0,On,0,0,Off,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14352.278453333334,Off,0.0,22.222222222222285,0,0.0,0.05,0.0,0.0,0,0,0,8803.563106666666,Off,0.0,0.0,3.089998467468528e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.089998467468528e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,20.766887977490427,0.0,6.734502706889048,0.04737778704979332,2.8,9.236100170605994,-142.35417503574536,-446.61436617491665,1171.0972990139262,-840.6124784094555,-0.0,-0.0,739.5878603715284,0.0,3.0,0.03590089872610557,0.0,0.0,0.10211611295533377,197.99884266666666,-41.329556997818315,0.17435820879967157,9.424852580762177,0.0025925515694012738,163.62423306883994,1.2189478798924482,0.10873669091327998,-557.5497337070658,110.93536753214917,0.5025932591706695,1802.9385367454033,-631.841237731477
