occupants,plug_loads_other,plug_loads_tv,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.601,0.0699,0.0991,0.0,0.0,0,0,0,0
1.0,0.572,0.0303,0.0626,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.817,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.75,0.587,0.0215,0.0679,0.0,0.0608,0,0,0,0
0.933,0.596,0.0235,0.0746,0.0,0.0786,0,0,0,0
1.0,0.596,0.0235,0.0746,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0746,0.0,0.351,0,0,0,0
1.0,0.604,0.0287,0.112,0.0,0.236,0,0,0,0
1.0,0.606,0.0306,0.125,0.0,0.0,0,0,0,0
1.0,0.639,0.0414,0.181,0.0,0.186,0,0,0,0
1.0,0.651,0.0453,0.201,0.0,0.0,0,0,0,0
1.0,0.715,0.0717,0.309,0.0,0.0973,0,0,0,0
1.0,0.739,0.0813,0.348,0.0,0.0778,0,0,0,0
0.817,0.696,0.0653,0.275,0.0,0.0,0,0,0,0
0.75,0.68,0.0595,0.248,0.0,0.0786,0,0,0,0
0.75,0.734,0.0882,0.337,0.0,0.497,0,0,0,0
0.933,0.801,0.119,0.447,0.733,0.0,0,0,0,0
1.0,0.818,0.126,0.475,1.0,0.323,0,0,0,0
0.817,0.771,0.106,0.397,1.0,0.406,0,0,0,0
0.75,0.754,0.111,0.376,0.333,0.0,0,0,0,0
0.75,0.754,0.116,0.379,0.0,0.0,0,0,0,0
0.75,0.754,0.116,0.379,0.0,0.13,0,0,0,0
0.75,0.754,0.116,0.379,0.0,0.314,0,0,0,0
0.75,0.754,0.126,0.371,0.0,0.157,0,0,0,0
0.75,0.754,0.13,0.369,0.0,0.337,0,0,0,0
0.75,0.754,0.13,0.369,0.0,0.0,0,0,0,0
0.75,0.707,0.102,0.291,0.0,0.0,0,0,0,0
0.75,0.69,0.0983,0.256,0.0,0.192,0,0,0,0
0.75,0.69,0.101,0.253,0.0,0.0786,0,0,0,0
0.75,0.69,0.101,0.253,0.733,0.0,0,0,0,0
0.75,0.69,0.101,0.253,1.0,0.375,0,0,0,0
0.75,0.69,0.104,0.248,0.333,0.0395,0,0,0,0
0.567,0.643,0.0729,0.174,0.0,0.0,0,0,0,0
0.5,0.626,0.0609,0.148,0.0,0.0,0,0,0,0
0.5,0.626,0.0609,0.148,0.0,0.0,0,0,0,0
0.5,0.673,0.103,0.219,0.0,0.236,0,0,0,0
0.5,0.69,0.119,0.244,0.0,0.0786,0,0,0,0
0.5,0.69,0.119,0.244,0.0,0.393,0,0,0,0
0.5,0.69,0.119,0.244,0.0,0.0786,0,0,0,0
0.5,0.69,0.123,0.248,0.0,0.0,0,0,0,0
0.5,0.69,0.125,0.249,0.0,0.157,0,0,0,0
0.5,0.69,0.125,0.249,0.0,0.0,0,0,0,0
0.5,0.69,0.125,0.249,0.0,0.0,0,0,0,0
0.5,0.704,0.136,0.266,0.0,0.0,0,0,0,0
0.5,0.709,0.139,0.272,0.0,0.0786,0,0,0,0
0.5,0.709,0.139,0.272,0.0,0.0786,0,0,0,0
0.5,0.709,0.139,0.272,0.0,0.0786,0,0,0,0
0.5,0.73,0.163,0.317,0.0,0.0786,0,0,0,0
0.5,0.738,0.172,0.333,0.0,0.0,0,0,0,0
0.5,0.738,0.172,0.333,0.0,0.0,0,0,0,0
0.5,0.738,0.172,0.333,0.0,0.0,0,0,0,0
0.5,0.76,0.199,0.406,0.0,0.0,0,0,0,0
0.5,0.767,0.209,0.433,0.0,0.0,0,0,0,0
0.5,0.767,0.209,0.433,0.0,0.0,0,0,0,0
0.5,0.767,0.209,0.433,0.0,0.0786,0,0,0,0
0.683,0.854,0.356,0.667,0.0,0.0,0,0,0,0
0.75,0.885,0.41,0.752,0.0,0.0,0,0,0,0
0.75,0.885,0.41,0.752,0.0,0.0699,0,0,0,0
0.75,0.885,0.41,0.752,0.0,0.0786,0,0,0,0
0.75,0.874,0.529,0.747,0.0,0.393,0,0,0,0
0.75,0.87,0.572,0.745,0.0,0.362,0,0,0,0
0.75,0.87,0.572,0.745,0.0,0.0,0,0,0,0
0.75,0.87,0.572,0.745,0.0,0.0,0,0,0,0
0.75,0.849,0.67,0.647,0.0,0.0,0,0,0,0
0.933,0.91,0.874,0.748,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0,0,0,0
0.817,0.866,0.767,0.661,0.0,0.157,0,0,0,0
0.933,0.852,0.838,0.604,0.0,0.0,0,0,0,0
1.0,0.857,0.887,0.602,0.0,0.0,0,0,0,0
1.0,0.802,0.727,0.501,0.0,0.0,0,0,0,0
1.0,0.783,0.669,0.464,0.0,0.0,0,0,0,0
1.0,0.74,0.476,0.42,0.0,0.0,0,0,0,0
1.0,0.724,0.406,0.404,0.0,0.0,0,0,0,0
1.0,0.724,0.406,0.404,0.0,0.0,0,0,0,0
1.0,0.724,0.406,0.404,0.0,0.106,0,0,0,0
1.0,0.663,0.199,0.217,0.0,0.0,0,0,0,0
1.0,0.641,0.124,0.149,0.0,0.0989,0,0,0,0
1.0,0.612,0.0843,0.112,0.0,0.138,0,0,0,0
1.0,0.601,0.0699,0.0991,0.0,0.0,0,0,0,0
1.0,0.598,0.0448,0.0762,0.0,0.0,0,0,0,0
1.0,0.596,0.0357,0.0678,0.0,0.0,0,0,0,0
1.0,0.596,0.0357,0.0678,0.0,0.0,0,0,0,0
1.0,0.596,0.0357,0.0678,0.0,0.0,0,0,0,0
1.0,0.596,0.0268,0.0588,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0555,0.0,0.0,0,0,0,0
1.0,0.596,0.0192,0.051,0.0,0.0786,0,0,0,0
1.0,0.596,0.0177,0.0493,0.0,0.0786,0,0,0,0
1.0,0.596,0.0177,0.0493,0.0,0.0786,0,0,0,0
1.0,0.596,0.0177,0.0493,0.0,0.157,0,0,0,0
1.0,0.596,0.0168,0.0493,0.0,0.236,0,0,0,0
1.0,0.596,0.0164,0.0493,0.0,0.236,0,0,0,0
1.0,0.596,0.0164,0.0493,0.0,0.157,0,0,0,0
1.0,0.596,0.0164,0.0493,0.0,0.236,0,0,0,0
1.0,0.571,0.016,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
1.0,0.587,0.0215,0.0679,0.0,0.086,0,0,0,0
1.0,0.596,0.0235,0.0746,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0746,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0746,0.0,0.108,0,0,0,0
1.0,0.604,0.0287,0.112,0.0,0.0,0,0,0,0
1.0,0.606,0.0306,0.125,0.0,0.0786,0,0,0,0
1.0,0.606,0.0306,0.125,0.0,0.236,0,0,0,0
1.0,0.606,0.0306,0.125,0.0,0.0,0,0,0,0
1.0,0.617,0.0358,0.143,0.0,0.0,0,0,0,0
1.0,0.621,0.0377,0.149,0.0,0.0,0,0,0,0
1.0,0.621,0.0377,0.149,0.0,0.0,0,0,0,0
0.817,0.577,0.0217,0.0759,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.75,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.75,0.609,0.0404,0.13,0.0,0.0,0,0,0,0
0.75,0.626,0.0493,0.159,0.0,0.0,0,0,0,0
0.75,0.626,0.0493,0.159,0.0,0.0,0,0,0,0
0.75,0.626,0.0493,0.159,0.0,0.0,0,0,0,0
0.75,0.626,0.0526,0.157,0.0,0.0,0,0,0,0
0.567,0.579,0.026,0.0777,0.0,0.0,0,0,0,0
0.683,0.609,0.0437,0.127,0.0,0.0,0,0,0,0
0.75,0.626,0.0538,0.156,0.0,0.0,0,0,0,0
0.75,0.626,0.0571,0.152,0.0,0.0,0,0,0,0
0.75,0.626,0.0583,0.151,0.0,0.157,0,0,0,0
0.75,0.626,0.0583,0.151,0.0,0.0786,0,0,0,0
0.75,0.626,0.0583,0.151,0.0,0.0,0,0,0,0
0.75,0.673,0.0932,0.221,0.0,0.0,0,0,0,0
0.75,0.69,0.106,0.246,0.0,0.0786,0,0,0,0
0.75,0.69,0.106,0.246,0.0,0.0,0,0,0,0
0.75,0.69,0.106,0.246,0.0,0.0786,0,0,0,0
0.75,0.69,0.115,0.245,0.0,0.314,0,0,0,0
0.75,0.69,0.119,0.244,0.0,0.157,0,0,0,0
0.383,0.596,0.0433,0.101,0.0,0.0,0,0,0,0
0.25,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.25,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.25,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.25,0.609,0.056,0.122,0.0,0.0,0,0,0,0
0.25,0.626,0.0705,0.149,0.0,0.0,0,0,0,0
0.25,0.633,0.0757,0.158,0.0,0.0,0,0,0,0
0.25,0.635,0.0776,0.161,0.0,0.157,0,0,0,0
0.0667,0.581,0.0323,0.0791,0.0,0.0,0,0,0,0
0.0,0.562,0.0159,0.0493,0.0,0.0,0,0,0,0
0.183,0.626,0.073,0.153,0.0,0.0,0,0,0,0
0.25,0.65,0.0937,0.191,0.0,0.0,0,0,0,0
0.25,0.65,0.0937,0.191,0.0,0.157,0,0,0,0
0.25,0.65,0.0937,0.191,0.0,0.0,0,0,0,0
0.25,0.661,0.107,0.228,0.0,0.314,0,0,0,0
0.25,0.665,0.112,0.241,0.0,0.157,0,0,0,0
0.433,0.74,0.183,0.382,0.0,0.0786,0,0,0,0
0.5,0.767,0.209,0.433,0.0,0.0,0,0,0,0
