Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Well Pump Electric Power (kW),Well Pump Reactive Power (kVAR),Well Pump Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,35.61542266398222,51.666666666666686,46.10666666666668,0.0,51.695801167144225,0.0,0.0,0.0,35.61542266398222,51.71627747883326,51.72651563467779,51.695801167144225,12.43753247303448,21.104370413068665,0.0,10.350693679343346,-2.4509016247637248,2.8,9.236100170605994,-3388.0353801812894,-5292.026719489788,1533.925299687087,-3947.7510346310373,-0.0,-0.0,624.8080209797993,0.0,3.0,0.16549211579182752,0.0,0.0,1.5488424684334954,197.99884266666666,-65.09236653005073,0.18061371259576847,9.73140364091492,0.002750591295147936,-48.944787083782245,1.2138877877805918,0.5441913997320392,-5354.959343283907,62.9326237941192,0.26062441240820344,1783.473361586528,-249.5480618994409
2025-01-01 00:01:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,35.78323113021241,51.666666666666686,46.10666666666668,0.0,51.69051216591816,0.0,0.0,0.0,35.78323113021241,51.711279152644856,51.72166264600821,51.69051216591816,12.43753247303448,20.955132848220806,0.0,10.215715004295435,-2.39083457968325,2.8,9.236100170605994,-3345.0692101199115,-5187.516591761291,1506.4223430780098,-3897.8440671873154,-0.0,-6.246566955142847,624.8080209797993,0.0,3.0,0.16474315470850937,0.0,0.0002640123946853379,1.5443038285087363,197.99884266666666,-65.7865969572518,0.18279894031102023,9.68808796760623,0.002750420435001836,-48.24607729230371,1.218051598363052,0.543576200590787,-5253.286862013592,65.770270252301,0.2601057231408469,1759.5627086367178,-253.14036555870814
2025-01-01 00:02:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,35.94578633883275,51.666666666666686,46.10666666666668,0.0,51.68519828800443,0.0,0.0,0.0,35.94578633883275,51.7062572759441,51.71678676991394,51.68519828800443,12.43753247303448,20.81038684600115,0.0,10.089486983212504,-2.3325981970874756,2.8,9.236100170605994,-3291.624653834142,-5089.9867848143485,1481.968435080445,-3849.6823983358536,-0.0,-0.0,624.8080209797993,0.0,3.0,0.16401524170421242,0.0,0.0,1.5350203881701394,197.99884266666666,-66.75027647808776,0.18442288828058706,9.622146253916203,0.002750252589698112,-46.9132673994431,1.218651490035124,0.5430002540654572,-5158.395649252054,68.40886443770522,0.25960185250613593,1736.4516938536763,-254.48325877323126
2025-01-01 00:03:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,36.10310904380699,51.666666666666686,46.10666666666668,0.0,51.67986031449935,0.0,0.0,0.0,36.10310904380699,51.70121258598168,51.71188872172285,51.67986031449935,12.43753247303448,20.67011530699518,0.0,9.971311667593517,-2.275890399289024,2.8,9.236100170605994,-3246.5564667010817,-4998.851992950866,1458.6012590425541,-3803.238656456662,-0.0,-0.0,624.8080209797993,0.0,3.0,0.16330841805906507,0.0,0.0,1.5284052181721057,197.99884266666666,-68.12583122421925,0.18601213094135055,9.558488296636389,0.0027500894615034815,-45.94158631964376,1.2192334018236843,0.5424604957700269,-5069.724575897599,70.8725829467329,0.25911026584120167,1714.0145642620757,-255.41330521952167
2025-01-01 00:04:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,36.25559240355469,51.666666666666686,46.10666666666668,0.0,51.67449902340474,0.0,0.0,0.0,36.25559240355469,51.696145817095655,51.706969213941115,51.67449902340474,12.43753247303448,20.53398104879468,0.0,9.860579134270067,-2.2205144708305244,2.8,9.236100170605994,-3199.0010220125046,-4913.621234703134,1436.6383941458118,-3758.3809456022263,-0.0,-0.0,624.8080209797993,0.0,3.0,0.16262110423099854,0.0,0.0,1.521972640759233,197.99884266666666,-65.42809739007764,0.1875691771132802,9.49619989137343,0.0027499297883116064,-44.99688708145021,1.2197986827626306,0.541954244060836,-4986.784471572803,73.16323686966922,0.25862932312493225,1692.1686246468112,-255.5302305009994
2025-01-01 00:05:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,36.403374550327754,51.666666666666686,46.10666666666668,0.0,51.6691151342769,0.0,0.0,0.0,36.403374550327754,51.691057648447575,51.70202890553292,51.6691151342769,12.43753247303448,20.401866027778645,0.0,9.756747123753184,-2.1662861331827603,2.8,9.236100170605994,-3150.1237109826934,-4833.854208538222,1415.8170092127089,-3715.0517145261233,-0.0,-0.0,624.8080209797993,0.0,3.0,0.16195281478472678,0.0,0.0,1.5157181127375259,197.99884266666666,-59.88001743636886,0.18909421455107353,9.435967041162098,0.00274977347096232,-44.07845784247775,1.2203477766147446,0.5414791104640247,-4909.141788872298,75.28758033407578,0.2581574789660775,1670.8370659276206,-255.02005671491182
2025-01-01 00:06:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,36.54660500091257,51.666666666666686,46.10666666666668,0.0,51.66370934613229,0.0,0.0,0.0,36.54660500091257,51.685948739813306,51.697068436653815,51.66370934613229,12.43753247303448,20.273642395765723,0.0,9.659327650809836,-2.113052508755935,2.8,9.236100170605994,-3102.115594254815,-4759.154182453906,1395.9689654703939,-3673.1914220348135,-0.0,-0.0,624.8080209797993,0.0,3.0,0.16130300792506688,0.0,0.0,1.5096365634401159,197.99884266666666,-53.73219319980045,0.1905876109394208,9.377725978298937,0.002749620413097909,-43.18552063277954,1.220881170974408,0.5410329411328865,-4836.4077509471335,77.2535684932275,0.25769344953642076,1649.9562806643453,-253.98731519395136
2025-01-01 00:07:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,36.68546772166198,51.666666666666686,46.10666666666668,0.0,51.65828233575569,0.0,0.0,0.0,36.68546772166198,51.68081972998526,51.69208842710005,51.65828233575569,12.43753247303448,20.149152674468347,0.0,9.567877355875922,-2.0606855604534005,2.8,9.236100170605994,-3055.741395933441,-4689.160647930732,1376.9478197841538,-3632.7321341635643,-0.0,-0.0,624.8080209797993,0.0,3.0,0.16067098449274325,0.0,0.0,1.5037214494279214,197.99884266666666,-47.81728274967534,0.192050153455095,9.320672439020353,0.0027494705213804245,-42.3171049629745,1.2213994798833137,0.5406137748385986,-4768.230477001881,79.06982907114909,0.2572361580586192,1629.4730941909345,-252.52527440678065
2025-01-01 00:08:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,36.820151396147615,51.666666666666686,46.10666666666668,0.0,51.652834752580176,0.0,0.0,0.0,36.820151396147615,51.67567123193774,51.68708947161653,51.652834752580176,12.43753247303448,20.028235305131183,0.0,9.481990484676007,-2.009078755482099,2.8,9.236100170605994,-3011.0732061035446,-4623.54402532885,1358.6287340365827,-3593.605934027109,-0.0,-0.0,624.8080209797993,0.0,3.0,0.16005601691488483,0.0,0.0,1.4979659613387188,197.99884266666666,-42.27529305623507,0.19348275613809113,9.264734795704832,0.0027493237061571234,-41.472209828338464,1.2219033377287774,0.5402198125709052,-4704.289201989794,80.745176660944,0.25678470777619933,1609.3433062863141,-250.7145722497314
2025-01-01 00:09:00,0.5450082080534071,0.23083436498992851,0.0,0.009083470134223452,0.0038472394164988087,0.0,0.05944513116348665,0.0,0.43556307688992046,0.0,0.05,0.0,0.0,0.21625103165659518,0.0,0.01458333333333334,1,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.004021034356725146,0.0,On,0.05542409680676151,0,On,0.09643780030506195,0,On,0.2486923147268046,0.1865192360451034,On,0.050790567709398216,0,On,0,0,Off,Off,0.0,20.33333333333337,0.0,0.0,0.0,0.0,0,0.0,27611.694733333334,Off,0.0,21.33333333333337,0,0.0,0.05,0.0,0.0,0,0,0,14037.227008888889,Off,0.0,0.0,36.95083606784676,51.666666666666686,46.10666666666668,0.0,51.64736721798634,0.0,0.0,0.0,36.95083606784676,51.670503832164876,51.682072139254146,51.64736721798634,12.43753247303448,19.910736128719087,0.0,9.401293672563595,-1.9581440382471131,2.8,9.236100170605994,-2968.0153831967086,-4562.001612306647,1340.905756873591,-3555.74858337322,-0.0,-0.0,624.8080209797993,0.0,3.0,0.1594574078304547,0.0,0.0,1.492363572563161,197.99884266666666,-37.07482080328805,0.19488632124358368,9.210561425649246,0.00274917988154943,-40.64987703170479,1.222393351277262,0.5398493950911485,-4644.289940593726,82.28832828707868,0.2563383572322744,1589.530382634639,-248.6246257610481
