Metric,Value
Total Electric Energy (kWh),1546.224434181792
Total Gas Energy (therms),0.0
Average Electric Power (kW),2.1475339363636
Peak Electric Power (kW),13.92526140662807
Other Electric Energy (kWh),296.9219451641983
HVAC Heating Electric Energy (kWh),841.4531439392366
Lighting Electric Energy (kWh),152.58461800769012
Water Heating Electric Energy (kWh),248.3147270706667
HVAC Cooling Electric Energy (kWh),6.950000000000004
Average Temperature - Indoor (C),15.318941835067001
Unmet Heating Load (C-hours),35.8704194087998
Unmet Cooling Load (C-hours),0.0013248926433738835
Total Hot Water Unmet Demand (kWh),0.0
