Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,1.8690587657518483,0.24381781410062814,1.4625405405405405,0.03115097942919747,0.004063630235010469,0.024375675675675675,0.023579212916737903,0.3157998653351101,1.4796796875000002,0.05,0.0,1.4625405405405405,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,On,32587.42496302222,22.222222222222285,0.9250000000000003,8540.379991144453,42.86283812612612,1.4796796875000002,1,39648.12526666667,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,69.66865937807134,51.666666666666686,46.10666666666668,0.0,48.902124920730046,0.0,0.0,0.0,108.85728027823646,47.598721973715065,48.902124920730046,46.94702050020758,12.43753247303448,21.680016765896998,-0.04220545632528783,10.00965451758963,-1.7942239332077292,2.8,9.236100170605994,27061.13279261697,615.2696800075719,6517.214596577896,-5459.3041799425655,-0.0,-0.0,585.0584934794265,0.0,4.0,0.22187954434185148,0.0,0.0,1.3166620509098976,263.9984568888889,-652.0464839421138,0.17768510542871543,10.047303346159996,0.002803392035531885,-105.50752200721757,1.2114791065558823,0.8558176439898261,-8041.0607254915085,115.95041435462718,1.0873669091327998,6510.373791497385,6.840805080511381
2025-01-01 00:01:00,1.8690587657518483,0.24381781410062814,1.4625405405405405,0.03115097942919747,0.004063630235010469,0.024375675675675675,0.023579212916737903,0.3157998653351101,1.4796796875000002,0.05,0.0,1.4625405405405405,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,On,32587.42496302222,22.222222222222285,0.9250000000000003,8540.379991144453,42.86283812612612,1.4796796875000002,1,39648.12526666667,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,69.16319343014536,51.666666666666686,46.10666666666668,0.0,48.88989106036307,0.0,0.0,0.0,108.0674897346021,47.587867115902654,48.88989106036307,46.93685514367245,12.43753247303448,21.857486381549993,0.0,10.096687447779773,-1.3664098861448184,2.8,9.236100170605994,26961.88438363654,509.49548829568266,5910.344459257412,-5534.9801001032265,-0.0,-0.0,585.0584934794265,0.0,4.0,0.2228603425820479,0.0,0.0,1.3224822351287557,263.9984568888889,-675.618972761881,0.17626741816172176,10.151061824561904,0.0028031580400457346,-106.73823019428141,1.2142872389209716,0.8564444682701586,-8144.090747981907,113.20624513313793,1.0873669091327998,5904.127905331334,6.216553926078439
2025-01-01 00:02:00,1.8690587657518483,0.24381781410062814,1.4625405405405405,0.03115097942919747,0.004063630235010469,0.024375675675675675,0.023579212916737903,0.3157998653351101,1.4796796875000002,0.05,0.0,1.4625405405405405,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,On,32587.42496302222,22.222222222222285,0.9250000000000003,8540.379991144453,42.86283812612612,1.4796796875000002,1,39648.12526666667,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,68.6727337945982,51.666666666666686,46.10666666666668,0.0,48.87774202602928,0.0,0.0,0.0,107.30114655405968,47.577091013172414,48.87774202602928,46.92676550674398,12.43753247303448,22.029442565385683,0.0,10.17821280882959,-0.980257574605379,2.8,9.236100170605994,26865.17088525893,410.2864038983653,5362.758111680525,-5608.700192258033,-0.0,-0.0,585.0584934794265,0.0,4.0,0.22380917125291994,0.0,0.0,1.3281127077685757,263.9984568888889,-698.6123789846849,0.17441280924487013,10.227213172125976,0.0028029218625290515,-107.92045504746727,1.2135800313178906,0.8570312103538188,-8240.725863783968,110.6322765378803,1.0873669091327998,5356.9199491842755,5.838162496249778
2025-01-01 00:03:00,1.8690587657518483,0.24381781410062814,1.4625405405405405,0.03115097942919747,0.004063630235010469,0.024375675675675675,0.023579212916737903,0.3157998653351101,1.4796796875000002,0.05,0.0,1.4625405405405405,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,On,32587.42496302222,22.222222222222285,0.9250000000000003,8540.379991144453,42.86283812612612,1.4796796875000002,1,39648.12526666667,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,68.19648650183882,51.666666666666686,46.10666666666668,0.0,48.865675316389456,0.0,0.0,0.0,106.55701015912315,47.56639132743733,48.865675316389456,46.916749332961274,12.43753247303448,22.196178861975532,0.0,10.254658573222484,-0.6316323819772565,2.8,9.236100170605994,26770.875224571202,317.1666779040297,4868.383499512329,-5680.552983008141,-0.0,-0.0,585.0584934794265,0.0,4.0,0.22472779090944103,0.0,0.0,1.333563916191366,263.9984568888889,-721.0552489223056,0.17263480725916192,10.300358414514701,0.0028026829299717757,-109.05634222760284,1.212895085294209,0.8575810296280844,-8331.449664083379,108.23635084295493,1.0873669091327998,4862.89084870089,5.492650811438503
2025-01-01 00:04:00,1.8690587657518483,0.24381781410062814,1.4625405405405405,0.03115097942919747,0.004063630235010469,0.024375675675675675,0.023579212916737903,0.3157998653351101,1.4796796875000002,0.05,0.0,1.4625405405405405,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,On,32587.42496302222,22.222222222222285,0.9250000000000003,8540.379991144453,42.86283812612612,1.4796796875000002,1,39648.12526666667,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,67.73377076851543,51.666666666666686,46.10666666666668,0.0,48.85368856237089,0.0,0.0,0.0,105.83401682580536,47.55576584431635,48.85368856237089,46.90680448528908,12.43753247303448,22.357946758834657,0.0,10.326400378629234,-0.31682270560494485,2.8,9.236100170605994,26681.7629164226,229.70465343506112,4421.998712043527,-5750.612592516118,-0.0,-0.0,585.0584934794265,0.0,4.0,0.22561771659200386,0.0,0.0,1.3388448508437074,263.9984568888889,-740.1079475629317,0.17092863944515285,10.372210912815708,0.0028024413462451893,-110.14816351618236,1.2122312951428451,0.8580966962733665,-8416.687435790816,106.0120980814242,1.0873669091327998,4416.780973309363,5.217738734164585
2025-01-01 00:05:00,0.389379078251848,0.24381781410062814,0.0,0.006489651304197466,0.004063630235010469,0.0,0.023579212916737903,0.3157998653351101,0.0,0.05,0.0,0.0,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,67.28389675479613,51.666666666666686,46.10666666666668,0.0,48.84177950831899,0.0,0.0,0.0,105.13108867936896,47.54521245549914,48.84177950831899,46.89692892908921,12.43753247303448,22.515001224849186,0.0,10.393773047711914,-0.03246380534669169,2.8,9.236100170605994,-5989.0893714800495,-8392.866680871257,4018.837016379733,-5818.957943583884,-0.0,-0.0,585.0584934794265,0.0,4.0,0.22648047021698173,0.0,0.0,1.3439645429751421,263.9984568888889,-755.1899213755921,0.16928971780014176,10.440576288371332,0.0028021972102847768,-111.19819492283676,1.211587547780604,0.8585806763929579,-8496.819159903307,103.95247903204995,1.0873669091327998,4013.8222236848605,5.014792694872768
2025-01-01 00:06:00,0.389379078251848,0.24381781410062814,0.0,0.006489651304197466,0.004063630235010469,0.0,0.023579212916737903,0.3157998653351101,0.0,0.05,0.0,0.0,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,67.85351137647432,51.666666666666686,46.10666666666668,0.0,48.82994601350153,0.0,0.0,0.0,106.02111152574112,47.534729160157184,48.82994601350153,46.88712073348502,12.43753247303448,22.29219364675505,0.0,10.261528475565203,0.22447906446730356,2.8,9.236100170605994,-5871.013904545484,-8230.900117512965,3654.590240104944,-5722.094480179225,-0.0,-0.0,585.0584934794265,0.0,4.0,0.22525614904183172,0.0,0.0,1.3366992620127756,263.9984568888889,-733.9779178456859,0.1715839394771884,10.34240741501402,0.002801950616048486,-109.28303622748956,1.2125014463317085,0.8576304226216263,-8339.607878541792,108.70776102882638,1.0873669091327998,3649.7141284181153,4.876111686828751
2025-01-01 00:07:00,0.389379078251848,0.24381781410062814,0.0,0.006489651304197466,0.004063630235010469,0.0,0.023579212916737903,0.3157998653351101,0.0,0.05,0.0,0.0,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,68.40404582848436,51.666666666666686,46.10666666666668,0.0,48.81801834185186,0.0,0.0,0.0,106.88132160700681,47.5241571149271,48.81801834185186,46.877226501464726,12.43753247303448,22.07640773011739,0.0,10.13797077088378,0.4567355695148946,2.8,9.236100170605994,-5759.3292338542615,-8080.409315347507,3325.380745020484,-5628.902334332584,-0.0,-0.0,585.0584934794265,0.0,4.0,0.22406806187316974,0.0,0.0,1.3296489983537694,263.9984568888889,-715.485393001104,0.17383912607906696,10.246861594935616,0.002801708451551688,-107.42434907386394,1.2133878612227396,0.856741636623377,-8193.010341496365,112.6010261488578,1.0873669091327998,3320.588538253234,4.7922067672498
2025-01-01 00:08:00,0.389379078251848,0.24381781410062814,0.0,0.006489651304197466,0.004063630235010469,0.0,0.023579212916737903,0.3157998653351101,0.0,0.05,0.0,0.0,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,68.93683439590366,51.666666666666686,46.10666666666668,0.0,48.80599967264704,0.0,0.0,0.0,107.71380374359947,47.51349929263096,48.80599967264704,46.86724910262293,12.43753247303448,21.86714920748393,0.0,10.022329833479866,0.6667594978857923,2.8,9.236100170605994,-5651.353896159564,-7939.754710932491,3027.722892633237,-5539.112387413508,-0.0,-0.0,585.0584934794265,0.0,4.0,0.22291369972289446,0.0,0.0,1.3227988633366696,263.9984568888889,-697.3000022254821,0.1760578734139881,10.152940299544113,0.002801470579690779,-105.61834538122946,1.2142487032857583,0.8559089620847503,-8056.057250944868,116.30254001237809,1.0873669091327998,3022.968244002899,4.754648630337872
2025-01-01 00:09:00,0.389379078251848,0.24381781410062814,0.0,0.006489651304197466,0.004063630235010469,0.0,0.023579212916737903,0.3157998653351101,0.0,0.05,0.0,0.0,0.0,0.2292344807672948,0,0.01458333333333334,1,0,0,Off,0,0,Off,0.0,0.0,Off,0.043945379194814636,0.03295903439611097,On,0.0,0,Off,0.005086641081871345,0.0,On,0.0004418098984830649,0.0,On,0.018050761936383494,0,On,0.010153890978716957,0,On,0.2617005951615785,0.19627544637118383,On,0,0,Off,Off,0.0,22.222222222222285,0.0,0.0,0.0,0.0,0,0.0,39648.12526666667,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,25013.32626222222,Off,0.0,0,69.45289172813801,51.666666666666686,46.10666666666668,0.0,48.79389296292008,0.0,0.0,0.0,108.52014332521564,47.50275845820003,48.79389296292008,46.85719120584,12.43753247303448,21.6640427214953,-0.05817950072698608,9.91396594947186,0.8567569281174499,2.8,9.236100170605994,-5547.27261374128,-7808.19185478628,2758.483296815437,-5452.512946531283,-0.0,-0.0,585.0584934794265,0.0,4.0,0.22179118547275642,0.0,0.0,1.31613771789784,263.9984568888889,-679.8181606894236,0.17824179032745924,10.062785415974108,0.0028012368727037685,-103.86215146412798,1.2150854080262137,0.8551279502112886,-7927.9433066729325,119.75145188665256,1.0873669091327998,2753.7270602436247,4.756236571812189
