occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.641,0.124,0.149,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.632,0.0602,0.0905,0.0905,0.0,0.0,0.0,0.0,0.0,0.0,0.161,1.0,0,0,0,0,0
1.0,0.631,0.0556,0.0864,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.631,0.0556,0.0864,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.566,0.0185,0.0518,0.0518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.672,0.0566,0.235,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.294,1.0,0,0,0,0,0
1.0,0.68,0.0595,0.248,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.68,0.0595,0.248,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.68,0.0595,0.248,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.193,1.0,0,0,0,0,0
1.0,0.689,0.0703,0.261,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.69,0.0711,0.262,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
0.533,0.69,0.0711,0.262,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.5,0.69,0.0711,0.262,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
0.5,0.69,0.0819,0.268,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.5,0.69,0.0827,0.269,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.5,0.69,0.0827,0.269,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.5,0.69,0.0827,0.269,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.5,0.69,0.0911,0.263,0.263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
0.5,0.69,0.0917,0.262,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
0.5,0.69,0.0917,0.262,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.528,1.0,0,0,0,0,0
0.5,0.69,0.0917,0.262,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
0.967,0.809,0.179,0.444,0.444,0.616,0.933,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.186,0.457,0.457,0.257,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.186,0.457,0.457,0.341,1.0,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.818,0.186,0.457,0.457,0.408,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.195,0.444,0.444,0.0,1.0,0.0,0.0,0.0,0.0,0.176,1.0,0,0,0,0,0
1.0,0.818,0.196,0.444,0.444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
1.0,0.818,0.196,0.444,0.444,0.0,1.0,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.818,0.196,0.444,0.444,0.0,0.6,0.0,0.0,0.0,0.0,0.088,1.0,0,0,0,0,0
1.0,0.818,0.22,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0
