occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.614,0.0879,0.116,0.0,0.0,0.0,0.0,0.087,0,0,0,0
1.0,0.565,0.0207,0.0538,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.689,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.617,0.0342,0.144,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.978,0.676,0.0538,0.245,0.0,0.0,0.0,0.0,0.113,0,0,0,0
0.689,0.717,0.0728,0.31,0.0,0.0,0.0,0.0,0.261,0,0,0,0
0.667,0.719,0.074,0.315,0.0,0.0,0.0,0.0,0.25,0,0,0,0
0.667,0.719,0.074,0.315,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.719,0.074,0.315,0.0,0.0,0.0,0.0,0.174,0,0,0,0
0.978,0.811,0.123,0.465,0.0,0.0,0.0,0.0,0.716,0,0,0,0
1.0,0.818,0.126,0.475,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.126,0.475,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.689,0.738,0.0919,0.343,0.0,0.0,0.0,0.0,0.478,0,0,0,0
0.667,0.732,0.104,0.342,0.0,0.0,0.0,0.0,0.123,0,0,0,0
0.667,0.732,0.105,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.105,0.342,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.105,0.342,0.0,0.0,0.0,0.0,0.179,0,0,0,0
0.667,0.732,0.116,0.334,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.667,0.732,0.117,0.333,0.0,0.0,0.0,0.0,0.087,0,0,0,0
0.667,0.732,0.117,0.333,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.117,0.333,0.693,0.933,0.0,0.0,0.0,0,0,0,0
0.667,0.732,0.128,0.322,0.324,0.0,1.0,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.321,0.722,0.0,1.0,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.321,0.0,0.0,1.0,0.0,0.0,0,0,0,0
0.667,0.732,0.129,0.321,0.202,0.0,1.0,0.0,0.0,0,0,0,0
0.667,0.732,0.135,0.313,0.26,0.0,0.333,0.0,0.087,0,0,0,0
0.667,0.732,0.136,0.312,0.645,0.0,0.0,0.0,0.0,0,0,0,0
0.978,0.812,0.192,0.435,0.0,0.0,0.0,0.933,0.087,0,0,0,0
1.0,0.818,0.196,0.444,0.315,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.818,0.22,0.44,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.818,0.222,0.44,0.398,0.0,0.0,0.133,0.087,0,0,0,0
1.0,0.818,0.222,0.44,0.286,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.818,0.222,0.44,0.379,0.0,0.0,0.0,0.0,0,0,0,0
0.689,0.738,0.166,0.323,0.0,0.0,0.0,0.0,0.174,0,0,0,0
0.667,0.732,0.162,0.315,0.0738,0.0,0.0,0.0,0.174,0,0,0,0
0.667,0.732,0.162,0.315,0.276,0.0,0.0,0.0,0.087,0,0,0,0
0.667,0.732,0.162,0.315,0.758,0.0,0.0,0.0,0.261,0,0,0,0
0.667,0.757,0.179,0.345,0.353,0.0,0.0,0.0,0.174,0,0,0,0
0.667,0.758,0.181,0.347,0.286,0.0,0.0,0.0,0.087,0,0,0,0
0.667,0.758,0.181,0.347,0.286,0.0,0.0,0.0,0.174,0,0,0,0
0.667,0.758,0.181,0.347,0.231,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.795,0.221,0.422,0.231,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.797,0.224,0.427,0.138,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.797,0.224,0.427,0.417,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.797,0.224,0.427,0.222,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.834,0.27,0.552,0.103,0.0,0.0,0.0,0.0,0,0,0,0
0.667,0.836,0.273,0.561,0.119,0.0,0.0,0.0,0.087,0,0,0,0
0.356,0.708,0.153,0.322,0.0,0.0,0.0,0.0,0.174,0,0,0,0
0.333,0.699,0.145,0.305,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.705,0.188,0.358,0.0,0.0,0.0,0.933,0.087,0,0,0,0
0.644,0.839,0.354,0.653,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.978,0.983,0.53,0.965,0.0,0.0,0.0,1.0,0.0,0,0,0,0
1.0,0.993,0.541,0.986,0.0,0.0,0.0,0.133,0.435,0,0,0,0
1.0,0.975,0.743,0.978,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.937,0.924,0.81,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.862,0.89,0.615,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.765,0.616,0.43,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.758,0.596,0.418,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.758,0.596,0.418,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.71,0.378,0.368,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.706,0.363,0.365,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.706,0.363,0.365,0.0,0.0,0.0,0.0,0.0,0,0,0,0
