Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.1516364303677205,0.07661869221791225,0.0,0.0025272738394620086,0.0012769782036318707,0.0,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.0,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,Off,0.0,18.33333333333337,0.0,0.0,0.0,0.0,0,0.0,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.41015397253841e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.41015397253841e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.56504662319474,-0.26828671013863215,-2.799999999861655,2.8,9.236100170605994,138.284482368587,32.80999150518289,-229.85443651364574,-0.0,-0.0,328.68078503272613,0.0,3.0,0.01194539227363269,0.0,0,0.5895384973613432,197.99884266666666,39.45813384950662,0.3461092194698428,9.78887451877992,0.004238492242715656,83.3677030143955,1.2275656244160935,0,0,32.80999150518289
2025-01-01 00:01:00,0.1516364303677205,0.07661869221791225,0.04594117647058823,0.0025272738394620086,0.0012769782036318707,0.0007656862745098038,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.04594117647058823,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,On,915.5541511111111,18.33333333333337,0.6800000000000002,0.0,1.3464031633986926,0.0,1,915.5541511111111,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.414215979565446e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.414215979565446e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.524565794301537,-0.30876753903183385,-2.5454689007278084,2.8,9.236100170605994,1052.6694006020025,30.48963233349016,-228.95627025389922,-0.0,-0.0,328.68078503272613,0.0,3.0,0.011931427121232564,0.0,0,0.5888492780562924,197.99884266666666,37.390734712064614,0.3481322948988726,9.796617548261683,0.0042400098094695195,83.39373732876078,1.2313218356433875,0,0,30.48963233349016
2025-01-01 00:02:00,0.1516364303677205,0.07661869221791225,0.04594117647058823,0.0025272738394620086,0.0012769782036318707,0.0007656862745098038,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.04594117647058823,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,On,915.5541511111111,18.33333333333337,0.6800000000000002,0.0,1.3464031633986926,0.0,1,915.5541511111111,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.4094604591435505e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.4094604591435505e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.57214487596212,-0.26118845737125085,-2.3017757694841605,2.8,9.236100170605994,1048.2100740983867,28.547180589066105,-230.01207086979164,-0.0,-0.0,328.68078503272613,0.0,3.0,0.011947840543969747,0.0,0,0.5896593263456562,197.99884266666666,33.98720882434129,0.34721118850934857,9.819365492511746,0.004241523219271737,83.23792344812335,1.2311191995149575,0,0,28.547180589066105
2025-01-01 00:03:00,0.1516364303677205,0.07661869221791225,0.04594117647058823,0.0025272738394620086,0.0012769782036318707,0.0007656862745098038,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.04594117647058823,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,On,915.5541511111111,18.33333333333337,0.6800000000000002,0.0,1.3464031633986926,0.0,1,915.5541511111111,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.404952622076962e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.404952622076962e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.617338124440742,-0.2159952088926289,-2.06807772454883,2.8,9.236100170605994,1043.915511960014,26.713357120638328,-231.01669423039823,-0.0,-0.0,328.68078503272613,0.0,3.0,0.011963424734382824,0.0,0,0.5904284497020316,197.99884266666666,30.697270046575106,0.34634478693556436,9.841840775117877,0.00424303405003488,83.0870255252137,1.2309267316557573,0,0,26.713357120638328
2025-01-01 00:04:00,0.1516364303677205,0.07661869221791225,0.04594117647058823,0.0025272738394620086,0.0012769782036318707,0.0007656862745098038,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.04594117647058823,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,On,915.5541511111111,18.33333333333337,0.6800000000000002,0.0,1.3464031633986926,0.0,1,915.5541511111111,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.4006429316946196e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.4006429316946196e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.660335346104944,-0.17299798722842752,-1.8437084551230352,2.8,9.236100170605994,1040.6347654690662,24.996132592077924,-231.9740965812552,-0.0,-0.0,328.68078503272613,0.0,3.0,0.01197824605592991,0.0,0,0.5911599233475698,197.99884266666666,28.373925906484196,0.3455285068813127,9.86318314656864,0.004244542377692936,82.94065446871363,1.230743619248469,0,0,24.996132592077924
2025-01-01 00:05:00,0.1516364303677205,0.07661869221791225,0.04594117647058823,0.0025272738394620086,0.0012769782036318707,0.0007656862745098038,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.04594117647058823,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,On,915.5541511111111,18.33333333333337,0.6800000000000002,0.0,1.3464031633986926,0.0,1,915.5541511111111,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.396531387996523e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.396531387996523e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.701377524385865,-0.13195580894750591,-1.6280888200286219,2.8,9.236100170605994,1038.4841727522103,23.38381207226829,-232.88941711372917,-0.0,-0.0,328.68078503272613,0.0,3.0,0.011992388363835123,0.0,0,0.5918578857719655,197.99884266666666,27.1386537221022,0.3447567227182275,9.882548559451926,0.004246048272207647,82.79831496316602,1.2305688343621044,0,0,23.38381207226829
2025-01-01 00:06:00,0.1516364303677205,0.07661869221791225,0.04594117647058823,0.0025272738394620086,0.0012769782036318707,0.0007656862745098038,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.04594117647058823,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,On,915.5541511111111,18.33333333333337,0.6800000000000002,0.0,1.3464031633986926,0.0,1,915.5541511111111,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.3926179909826715e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.3926179909826715e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.74069190672787,-0.09264142660549979,-1.4207080086993682,2.8,9.236100170605994,1036.7963739653555,21.868361024009445,-233.7675320173142,-0.0,-0.0,328.68078503272613,0.0,3.0,0.012005930630339107,0.0,0,0.59252623447603,197.99884266666666,26.328969838832542,0.3440241808206916,9.901986210702738,0.00424755179588905,82.6595397040963,1.2304014086958783,0,0,21.868361024009445
2025-01-01 00:07:00,0.1516364303677205,0.07661869221791225,0.04594117647058823,0.0025272738394620086,0.0012769782036318707,0.0007656862745098038,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.04594117647058823,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,On,915.5541511111111,18.33333333333337,0.6800000000000002,0.0,1.3464031633986926,0.0,1,915.5541511111111,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.388853203982004e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.388853203982004e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.77842367498609,-0.05490965834728101,-1.2211073071381224,2.8,9.236100170605994,1035.2790384042464,20.442969851507755,-234.611519014629,-0.0,-0.0,328.68078503272613,0.0,3.0,0.012018923439747071,0.0,0,0.5931674659366143,197.99884266666666,25.655621275038346,0.3433274671596336,9.920605361456712,0.0042490530038164324,82.52403099882623,1.2302407223159304,0,0,20.442969851507755
2025-01-01 00:08:00,0.1516364303677205,0.07661869221791225,0.04594117647058823,0.0025272738394620086,0.0012769782036318707,0.0007656862745098038,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.04594117647058823,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,On,915.5541511111111,18.33333333333337,0.6800000000000002,0.0,1.3464031633986926,0.0,1,915.5541511111111,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.38518749032346e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.38518749032346e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.814678640865406,-0.01865469246796536,-1.028869193668521,2.8,9.236100170605994,1033.8227572089593,19.101800729480516,-235.42359867593643,-0.0,-0.0,328.68078503272613,0.0,3.0,0.012031403738250204,0.0,0,0.593783403551522,197.99884266666666,25.011419741058607,0.3426640599461939,9.938460522906727,0.004250551946481258,82.39157249151155,1.2300863226098682,0,0,19.101800729480516
2025-01-01 00:09:00,0.1516364303677205,0.07661869221791225,0.04594117647058823,0.0025272738394620086,0.0012769782036318707,0.0007656862745098038,0.034055799863242545,0.006998,0.10058263050447795,0.0,0.010000000000000002,0.0,0.04594117647058823,0.0,0,0.07370202555124558,0,0.0029166666666666685,1,0,0,Off,0,0,Off,0.04174811023507391,0.031311082676305425,On,0,0,Off,0.015149013157894735,0.0,On,0.018906786705347813,0,On,0.002313263102817166,0,On,0.05652125716658688,0.04239094287494015,On,On,915.5541511111111,18.33333333333337,0.6800000000000002,0.0,1.3464031633986926,0.0,1,915.5541511111111,915.5541511111111,Off,0.0,26.666666666666686,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,364.58046222222225,Off,0.0,0.0,3.3817199233491614e-05,51.666666666666686,46.10666666666668,0.0,51.666666666666686,0.0,0.0,0.0,3.3817199233491614e-05,51.666666666666686,51.666666666666686,51.666666666666686,12.43753247303448,17.849544187178374,0.0,-0.8436097077350108,2.8,9.236100170605994,1032.4327159710238,17.839722558661165,-236.20559676471956,-0.0,-0.0,328.68078503272613,0.0,3.0,0.012043402066040262,0.0,0,0.5943755545645794,197.99884266666666,24.403376591906248,0.34203186591966067,9.955596798161327,0.0042520486710524155,82.26198584114759,1.229937835510304,0,0,17.839722558661165
