Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,1.5479802087163892,0.9980770239037562,0.0,0.02579967014527315,0.016634617065062602,0.0,0.009500412465535063,0.0,0.2855717010772982,1.202908095173556,0.05,0.0,0.0,0.20649182001425959,0.7770018705561632,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2385.8272545300833,21.111111111111143,2.12217692482082,0.0,1.0541289285068896,0.14877916666666666,1,2237.0480878634166,2237.0480878634166,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,36.01663442969302,51.666666666666686,46.10666666666668,0.0,51.6868235634269,0.0,0.0,0.0,36.01663442969302,51.6868235634269,51.686823563426906,51.6868235634269,12.43753247303448,20.73068148026885,0.0,2.8,9.236100170605994,2385.586080356751,-476.1757374612393,-0.0,-0.0,476.71210231142857,0.0,3.0,0.020377589783319053,0.0,0,0.5197953552219992,197.99884266666666,-0.777539023521463,0.2227219941807592,10.19008896651016,0.003317802364789049,96.25597191557722,1.2150156332837523
2025-01-01 00:01:00,1.549192777399172,0.9988602658974549,0.0,0.025819879623319535,0.016647671098290916,0.0,0.009500412465535063,0.0,0.2855717010772982,1.2041206638563389,0.05,0.0,0.0,0.20649182001425959,0.7777851125498619,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2385.1936799559253,21.111111111111143,2.1191382308425584,0.0,1.0553414971896722,0.14877916666666666,1,2236.4145132892586,2236.4145132892586,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,35.945310582082826,51.666666666666686,46.10666666666668,0.0,51.68147035413344,0.0,0.0,0.0,35.945310582082826,51.68176893052849,51.68191821872602,51.68147035413344,12.43753247303448,20.78692056865136,0.0,2.8,9.236100170605994,2378.49611622852,-478.34762254962874,-0.0,-0.0,476.71210231142857,0.0,3.0,0.02040652948774474,0.0,0,0.5205335545920878,197.99884266666666,-5.062043489205102,0.2226613771226207,10.240509674850998,0.0033187173378949305,96.10808394964576,1.2183310309360236
2025-01-01 00:02:00,1.5503654060965408,0.9996177092091917,0.0,0.025839423434942346,0.016660295153486528,0.0,0.009500412465535063,0.0,0.2855717010772982,1.2052932925537074,0.05,0.0,0.0,0.20649182001425959,0.7785425558615987,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2384.581318736418,21.111111111111143,2.1162065866299606,0.0,1.0565141258870407,0.14877916666666666,1,2235.802152069751,2235.802152069751,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,35.87624266578722,51.666666666666686,46.10666666666668,0.0,51.67612781253156,0.0,0.0,0.0,35.87624266578722,51.676724307334545,51.67702255473604,51.67612781253156,12.43753247303448,20.841230722854142,0.0,2.8,9.236100170605994,2371.5676422647875,-480.44873108856086,-0.0,-0.0,476.71210231142857,0.0,3.0,0.020434463418150244,0.0,0,0.5212460984911588,197.99884266666666,-9.277047694498151,0.22197883227534526,10.265766810478802,0.0033196284191775007,95.96336311612363,1.2181052950659501
2025-01-01 00:03:00,1.551500197764,1.0003507122140307,0.0,0.0258583366294,0.016672511870233844,0.0,0.009500412465535063,0.0,0.2855717010772982,1.2064280842211668,0.05,0.0,0.0,0.20649182001425959,0.7792755588664377,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2383.989036050325,21.111111111111143,2.113376028930204,0.0,1.0576489175545003,0.14877916666666666,1,2235.2098693836583,2235.2098693836583,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,35.80930777043417,51.666666666666686,46.10666666666668,0.0,51.6707956031716,0.0,0.0,0.0,35.80930777043417,51.67168937724401,51.67213626428022,51.6707956031716,12.43753247303448,20.893717266777507,0.0,2.8,9.236100170605994,2364.774414913224,-482.4827564347547,-0.0,-0.0,476.71210231142857,0.0,3.0,0.020461447089403277,0.0,0,0.5219344030027967,197.99884266666666,-13.443967013774888,0.22132342061667198,10.29004577808287,0.0033205382971265326,95.82147400065391,1.217887196554931
2025-01-01 00:04:00,1.5525990349629957,1.0010604909265375,0.0,0.025876650582716595,0.01668434151544229,0.0,0.009500412465535063,0.0,0.2855717010772982,1.2075269214201623,0.05,0.0,0.0,0.20649182001425959,0.7799853375789445,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2383.4158160323395,21.111111111111143,2.110641216789126,0.0,1.0587477547534956,0.14877916666666666,1,2234.636649365673,2234.636649365673,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,35.74439583261939,51.666666666666686,46.10666666666668,0.0,51.66547340887646,0.0,0.0,0.0,35.74439583261939,51.66666384090526,51.66725905691967,51.66547340887646,12.43753247303448,20.94447449948042,0.0,2.8,9.236100170605994,2359.7122411581777,-484.45300437561974,-0.0,-0.0,476.71210231142857,0.0,3.0,0.020487530209819818,0.0,0,0.5225997360959829,197.99884266666666,-15.962672809970819,0.22069360538420774,10.313397086821784,0.0033214469924514414,95.68227116874203,1.2176763368031667
2025-01-01 00:05:00,1.5536653310431834,1.0017492501527798,0.0,0.025894422184053054,0.016695820835879664,0.0,0.009500412465535063,0.0,0.2855717010772982,1.20859321750035,0.05,0.0,0.0,0.20649182001425959,0.780674096805187,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2382.8598483572446,21.111111111111143,2.107993076646964,0.0,1.0598140508336833,0.14877916666666666,1,2234.080681690578,2234.080681690578,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,35.681315557453054,51.666666666666686,46.10666666666668,0.0,51.66016092883195,0.0,0.0,0.0,35.681315557453054,51.66164741441316,51.66239065720377,51.66016092883195,12.43753247303448,20.993666553746596,0.0,2.8,9.236100170605994,2356.0634456155485,-486.3655335213898,-0.0,-0.0,476.71210231142857,0.0,3.0,0.020512798226303083,0.0,0,0.5232442773662377,197.99884266666666,-17.14297153173472,0.2200869320605989,10.336589039781767,0.003322354524812674,95.54549880521961,1.2174720289775276
2025-01-01 00:06:00,1.5547019544253036,1.002418842709519,0.0,0.025911699240421724,0.016706980711825317,0.0,0.009500412465535063,0.0,0.2855717010772982,1.2096298408824702,0.05,0.0,0.0,0.20649182001425959,0.7813436893619262,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2382.319611378984,21.111111111111143,2.1054239762475366,0.0,1.0608506742158035,0.14877916666666666,1,2233.5404447123174,2233.5404447123174,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,35.619906078650004,51.666666666666686,46.10666666666668,0.0,51.6548578906601,0.0,0.0,0.0,35.619906078650004,51.6566398407092,51.65753081573376,51.6548578906601,12.43753247303448,21.0414314358958,0.0,2.8,9.236100170605994,2352.927714384704,-488.22543443220957,-0.0,-0.0,476.71210231142857,0.0,3.0,0.020537322997653023,0.0,0,0.5238698598012133,197.99884266666666,-17.878564873498853,0.21950133512858644,10.358333373925745,0.003323260911986196,95.41094201061605,1.2172736954893904
2025-01-01 00:07:00,1.5557106583439049,1.0030704010743978,0.0,0.025928510972398414,0.01671784001790663,0.0,0.009500412465535063,0.0,0.2855717010772982,1.2106385448010715,0.05,0.0,0.0,0.20649182001425959,0.7819952477268048,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2381.794168111277,21.111111111111143,2.1029291141806596,0.0,1.0618593781344048,0.14877916666666666,1,2233.0150014446103,2233.0150014446103,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,35.5600672174412,51.666666666666686,46.10666666666668,0.0,51.64956404589617,0.0,0.0,0.0,35.5600672174412,51.65164088531111,51.65267930501858,51.64956404589617,12.43753247303448,21.08785501431912,0.0,2.8,9.236100170605994,2349.9547129378197,-490.0358039151917,-0.0,-0.0,476.71210231142857,0.0,3.0,0.020561149484376238,0.0,0,0.5244776302618849,197.99884266666666,-18.515753569694283,0.21893548009331787,10.380039904068127,0.003324166170165992,95.27846796842762,1.2170809753465515
2025-01-01 00:08:00,1.5566927277214802,1.0037047552253537,0.0,0.025944878795358003,0.01672841258708923,0.0,0.009500412465535063,0.0,0.2855717010772982,1.2116206141786467,0.05,0.0,0.0,0.20649182001425959,0.7826296018777609,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2381.2828279342557,21.111111111111143,2.1005048932685937,0.0,1.06284144751198,0.14877916666666666,1,2232.503661267589,2232.503661267589,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,35.501724492064646,51.666666666666686,46.10666666666668,0.0,51.644279160968296,0.0,0.0,0.0,35.501724492064646,51.646650327795854,51.64783591120965,51.644279160968296,12.43753247303448,21.13300108492469,0.0,2.8,9.236100170605994,2347.1029085494547,-491.7989030927646,-0.0,-0.0,476.71210231142857,0.0,3.0,0.02058431123042668,0.0,0,0.5250684443936772,197.99884266666666,-19.09311860346466,0.21838834831513043,10.401061323607733,0.003325070314578401,95.1479785763382,1.2168935994427406
2025-01-01 00:09:00,1.5576493350961569,1.0043226625471966,0.0,0.025960822251602615,0.016738711042453277,0.0,0.009500412465535063,0.0,0.2855717010772982,1.2125772215533237,0.05,0.0,0.0,0.20649182001425959,0.7832475091996037,0.01458333333333334,1,0.041624513856088494,0.03121838539206636,On,0.0,0,Off,0.0028521290204678363,0.0,On,0.006648283445067227,0,On,0.010249274391618664,0,On,0.23369791282959104,0.17527343462219322,On,0,0,Off,HP On,2380.7849607039902,21.111111111111143,2.0981480308075335,0.0,1.063798054886657,0.14877916666666666,1,2232.0057940373235,2232.0057940373235,0.0,Off,0.0,23.888888888888914,0,0.0,0.05,0.0,0.0,0,0,0,2989.9114755555556,Off,0.0,0.0,35.44480993225322,51.666666666666686,46.10666666666668,0.0,51.639003013377874,0.0,0.0,0.0,35.44480993225322,51.641667958193324,51.64300043060106,51.639003013377874,12.43753247303448,21.176927857467614,0.0,2.8,9.236100170605994,2344.3401733883375,-493.51679519483974,-0.0,-0.0,476.71210231142857,0.0,3.0,0.020606838842704162,0.0,0,0.5256430829230906,197.99884266666666,-19.640094432241263,0.21785901123537676,10.421428739484078,0.0033259733597410268,95.01938443507947,1.2167113222361892
