Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Electric Power (kW),Spa Heater Reactive Power (kVAR),Spa Heater Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Attic (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Net Sensible Heat Gain - Attic (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W),Infiltration Flow Rate - Attic (m^3/s),Infiltration Heat Gain - Attic (W),Radiation Heat Gain - Attic (W)
2025-01-01 00:00:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,87.57008661362924,51.666666666666686,46.10666666666668,0.0,49.12772832005962,0.0,0.0,0.0,136.8282603337957,47.80090490396961,49.12772832005962,47.137493195924606,12.43753247303448,15.211686506450924,0.0,7.328043472541749,-1.3372571777135658,-1.7315856309111042,2.8,9.236100170605994,-1061.6789935484883,-4864.151611754699,3924.337924110574,2663.6057485669567,-1373.72126505096,-0.0,-0.0,422.8179192539485,0.0,2.0,0.0849278581628889,0.0,0.0,0.5039729473026604,131.99922844444444,-110.7756477514767,0.25606425825688667,6.886675283425962,0.0026925323480309123,15.963320542306086,1.2387370464276752,0.8362740539771356,-4934.883020594838,70.73140884013932,0.7249112727551998,3908.544161837653,15.79376227292031,0.5210285655687689,3077.01332703319,-413.40757846623313
2025-01-01 00:01:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,87.70355997933122,51.666666666666686,46.10666666666668,0.0,49.1125026664282,0.0,0.0,0.0,137.03681246770503,47.78726088028239,49.1125026664282,47.124639987209484,12.43753247303448,15.148246812685887,0.0,7.283028795926646,-1.0526939278006697,-1.6882224490418107,2.8,9.236100170605994,-1050.6513149964853,-4811.871541925741,3654.4637343157897,2627.372074346217,-1363.1653635017185,-0.0,-0.0,422.8179192539485,0.0,2.0,0.08470822651513266,0.0,0.0,0.5026696245622192,131.99922844444444,-110.30387074871535,0.257865472073066,6.877021156325625,0.0026925669725773854,16.189310549516186,1.2426289106852082,0.8359420875413637,-4883.884355268798,72.01281334305604,0.7249112727551998,3639.7119424842344,14.751791831554685,0.5201194296564933,3042.2514250993327,-414.8793507531157
2025-01-01 00:02:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,87.83172373510484,51.666666666666686,46.10666666666668,0.0,49.09725556130021,0.0,0.0,0.0,137.23706833610132,47.773596060523886,49.09725556130021,47.11176631013573,12.43753247303448,15.086765030063974,0.0,7.241220981713137,-0.7893713328305267,-1.6459666455024453,2.8,9.236100170605994,-1041.6235328436837,-4762.427457656661,3404.8251114755944,2592.76844062071,-1352.9663616242033,-0.0,-0.0,422.8179192539485,0.0,2.0,0.08449515249600095,0.0,0.0,0.5014052156422454,131.99922844444444,-111.47509047342882,0.2588909454178609,6.846447705875882,0.002692601977319754,16.408219474462847,1.2428939409669455,0.8356336523985526,-4836.553055969202,74.12559831254083,0.7249112727551998,3390.9461667440664,13.878944731528044,0.5192319792468933,3008.4672263799,-415.69878575918983
2025-01-01 00:03:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,87.955110303924,51.666666666666686,46.10666666666668,0.0,49.08198788898526,0.0,0.0,0.0,137.42985984988124,47.759911271967965,49.08198788898526,47.09887296345932,12.43753247303448,15.027043570054387,0.0,7.20228880383076,-0.5456613047052663,-1.6046486775464666,2.8,9.236100170605994,-1032.8704002003635,-4717.502230294816,3173.786456660108,2560.738642507018,-1343.0887425405567,-0.0,-0.0,422.8179192539485,0.0,2.0,0.08428797056073956,0.0,0.0,0.5001757711136751,131.99922844444444,-112.59957691375533,0.25989157800358903,6.817417833785299,0.0026926374478246913,16.62073626155837,1.243151490179165,0.8353463297215435,-4792.506945214052,75.00471491923642,0.7249112727551998,3160.708749369714,13.077707290394327,0.5183627559982987,2975.5189206834234,-414.7802781764054
2025-01-01 00:04:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,88.07407413084246,51.666666666666686,46.10666666666668,0.0,49.06670044512276,0.0,0.0,0.0,137.61574082944134,47.74620725893331,49.06670044512276,47.08596066583859,12.43753247303448,14.968951087823136,0.0,7.165924221015663,-0.32006556464698616,-1.5641071463146226,2.8,9.236100170605994,-1022.0146414584146,-4674.743710743196,2959.931723681493,2529.8654889446034,-1333.5083556235566,-0.0,-0.0,422.8179192539485,0.0,2.0,0.08408624210258626,0.0,0.0,0.4989786882269815,131.99922844444444,-111.3242050888065,0.26086921537483515,6.788706037349731,0.002692673370294506,16.827333647524462,1.2434021157892046,0.8350778668138543,-4751.391522722593,76.64781197939726,0.7249112727551998,2947.5842384038438,12.347485277648943,0.5175084478944958,2943.2726872882513,-413.407198343648
2025-01-01 00:05:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,88.18881900048007,51.666666666666686,46.10666666666668,0.0,49.05139396631599,0.0,0.0,0.0,137.7950296882501,47.73248471051363,49.05139396631599,47.073030082612455,12.43753247303448,14.912412329806948,0.0,7.131918922186931,-0.11120047950298406,-1.52422197774172,2.8,9.236100170605994,-1008.6362208929427,-4635.201840494738,2761.9480147207196,2500.2757090165105,-1324.21057155604,-0.0,-0.0,422.8179192539485,0.0,2.0,0.08388972140271043,0.0,0.0,0.49781250885469075,131.99922844444444,-107.2435685908512,0.26182480063629804,6.760276155151187,0.0026927097319534585,17.028277443198228,1.2436461342566911,0.8348267432972893,-4712.966193893034,77.76435339829627,0.7249112727551998,2750.265489753447,11.682524967272641,0.516666592462323,2911.628841832542,-411.35313281603175
2025-01-01 00:06:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,88.29948916374158,51.666666666666686,46.10666666666668,0.0,49.03606915521725,0.0,0.0,0.0,137.96795181834622,47.718744284051574,49.03606915521725,47.06008184846874,12.43753247303448,14.857374196992994,0.0,7.10006983446574,0.08221149348326308,-1.484887488471387,2.8,9.236100170605994,-994.9588230285767,-4598.436450794257,2578.623166166609,2471.7236033122663,-1315.1845829629508,-0.0,-0.0,422.8179192539485,0.0,2.0,0.08369823850818643,0.0,0.0,0.4966762244740553,131.99922844444444,-102.59215931957425,0.2627589285103915,6.733244470870638,0.0026927465206057774,17.22375211461661,1.2438837670812812,0.8345914745170767,-4676.99714334947,78.56069255521314,0.7249112727551998,2567.545584905116,11.077581261492725,0.5158350146028523,2880.5000905161987,-408.77648720393233
2025-01-01 00:07:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,88.40626710202416,51.666666666666686,46.10666666666668,0.0,49.020726690440604,0.0,0.0,0.0,138.13479234691275,47.70498661441451,49.020726690440604,47.047116576401464,12.43753247303448,14.80376932048736,0.0,7.070205498437938,0.2613498732727683,-1.4460160851709558,2.8,9.236100170605994,-981.2966543907842,-4563.2960815642655,2408.8380662161917,2444.0366107976492,-1306.4173981094377,-0.0,-0.0,422.8179192539485,0.0,2.0,0.08351157273764218,0.0,0.0,0.49556852553313446,131.99922844444444,-97.69717553529492,0.2636724565025582,6.706431792695307,0.0026927837244614997,17.413996419150983,1.2441152979649293,0.8343708068039962,-4643.286997009445,79.99091544518006,0.7249112727551998,2398.3102102566704,10.52785595952112,0.5150119078222634,2849.814275682015,-405.7776648843654
2025-01-01 00:08:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,88.50932150549448,51.666666666666686,46.10666666666668,0.0,49.005367220197726,0.0,0.0,0.0,138.29581485233513,47.69121230803794,49.005367220197726,47.03413485195805,12.43753247303448,14.751535442477701,0.0,7.04219720930905,0.42730369714405303,-1.4075352223538502,2.8,9.236100170605994,-968.3821381007365,-4531.034640342685,2251.5594458094556,2417.067566715359,-1297.8970228718133,-0.0,-0.0,422.8179192539485,0.0,2.0,0.08332952008009235,0.0,0.0,0.4944882014042285,131.99922844444444,-93.30303448287152,0.26456617800966886,6.680942391743562,0.002692821332250864,17.599231137653867,1.2443409891346415,0.8341638003840792,-4611.687227213828,80.65258687114365,0.7249112727551998,2241.5305319420604,10.028913867395167,0.5141957729759865,2819.5117857772784,-402.4442190619194
2025-01-01 00:09:00,0.47428005284288777,0.22080652662042466,0.0,0.007904667547381462,0.0036801087770070777,0.0,0.023659348263692526,0.40062070457919524,0.0,0.05,0.0,0.0,0.0,0.20622319328709132,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.06079110788616025,0.04559333091462018,On,0,0,Off,0.005086641081871345,0.0,On,0.0004437244288047032,0.0,On,0.018128982753016477,0,On,0.007187205317787004,0,On,0.2141731498299616,0.16062986237247115,On,0.06172839468737013,0,On,0.05674084685791626,0,On,0,0,Off,Off,0.0,15.000000000000057,0.0,0.0,0.0,0.0,0,0.0,27165.347431111113,Off,0.0,20.000000000000057,0,0.0,0.05,0.0,0.0,0,0,0,14852.55084,Off,0.0,0,88.60882649161292,51.666666666666686,46.10666666666668,0.0,48.989991364594914,0.0,0.0,0.0,138.45129139314517,47.677421945074286,48.989991364594914,47.02113723531397,12.43753247303448,14.700608256204841,0.0,7.0158983735557605,0.5810784620032254,-1.3693853401570055,2.8,9.236100170605994,-955.7253348344441,-4500.174560511335,2105.8333001306855,2390.6922909783657,-1289.6112796053371,-0.0,-0.0,422.8179192539485,0.0,2.0,0.08315186833034355,0.0,0.0,0.4934339928341424,131.99922844444444,-88.93197448305546,0.26544094256077927,6.655605273884083,0.002692859333185053,17.77968574672439,1.244561112233574,0.833969381586076,-4582.02961216116,81.85505164982521,0.7249112727551998,2096.256638246035,9.576661884650637,0.513385377121347,2789.5437775482856,-398.85148656991976
