occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.575,0.0187,0.0588,0.0588,0.0,0.0,0.0,0.0,0.129,0,0,0,0
1.0,0.589,0.022,0.0696,0.0696,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.907,0.576,0.0191,0.0601,0.0601,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.578,0.0214,0.0777,0.0777,0.0,0.0,0.0,0.0,0.202,0,0,0,0
0.8,0.597,0.0276,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.603,0.0303,0.119,0.119,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.8,0.609,0.0333,0.129,0.129,0.0,0.0,0.0,0.0,0.0375,0,0,0,0
0.8,0.609,0.0333,0.129,0.129,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.707,0.587,0.0252,0.0918,0.0918,0.0,0.0,0.0,0.0,0.0951,0,0,0,0
0.6,0.585,0.0262,0.0891,0.0891,0.0,0.0,0.0,0.0,0.103,0,0,0,0
0.6,0.613,0.038,0.135,0.135,0.0,0.0,0.0,0.0,0.252,0,0,0,0
0.6,0.637,0.0483,0.174,0.174,0.0,0.0,0.0,0.467,0.337,0,0,0,0
0.6,0.664,0.06,0.22,0.22,0.0,0.0,0.0,1.0,0.168,0,0,0,0
0.6,0.688,0.0768,0.263,0.263,0.0,0.0,0.0,0.6,0.252,0,0,0,0
0.6,0.715,0.096,0.313,0.313,0.0,0.0,0.0,0.0,0.865,0,0,0,0
0.6,0.715,0.096,0.313,0.313,0.0,0.0,0.0,0.0,0.0485,0,0,0,0
0.6,0.715,0.096,0.313,0.313,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.6,0.715,0.101,0.309,0.309,0.0,0.0,0.0,0.0,0.425,0,0,0,0
0.6,0.715,0.107,0.305,0.305,0.0,0.0,0.0,0.0,0.0555,0,0,0,0
0.507,0.691,0.0927,0.265,0.265,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0765,0.22,0.22,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.664,0.0799,0.216,0.216,0.0,0.0,0.0,0.467,0.0841,0,0,0,0
0.4,0.664,0.0837,0.212,0.212,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.4,0.664,0.0837,0.212,0.212,0.0,0.0,0.0,0.6,0.0841,0,0,0,0
0.4,0.664,0.0837,0.212,0.212,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.4,0.664,0.0857,0.21,0.21,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.664,0.0879,0.207,0.207,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.4,0.664,0.0879,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.664,0.0879,0.207,0.207,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.664,0.0927,0.206,0.206,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.307,0.64,0.079,0.169,0.169,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.293,0.637,0.0762,0.164,0.164,0.0,0.0,0.0,0.0,0.0893,0,0,0,0
0.4,0.664,0.0982,0.205,0.205,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.307,0.64,0.0802,0.17,0.17,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.293,0.637,0.08,0.166,0.166,0.0,0.0,0.0,0.467,0.0,0,0,0,0
0.4,0.664,0.103,0.209,0.209,0.0,0.0,0.0,0.533,0.0,0,0,0,0
0.4,0.664,0.103,0.209,0.209,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.4,0.671,0.109,0.218,0.218,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.68,0.115,0.228,0.228,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.68,0.115,0.228,0.228,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.4,0.68,0.115,0.228,0.228,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.69,0.127,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0,0,0,0
