Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,20.77859280440173,0.15363711701769184,0.0,0.34630988007336216,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,20.524229353333332,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,On,16323.118346943276,17.77777777777783,1.0,4201.111006390056,19.785816853333333,0.7384125,1,19785.816853333334,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,38.204037575807085,51.666666666666686,46.10666666666668,0.0,51.38521842291545,0.0,0.0,0.0,38.204037575807085,50.517091409637885,51.38521842291545,50.083027902999106,12.43753247303448,17.713960419925417,0.0,11.145494928199325,-0.3655119813918312,2.8,9.236100170605994,14655.467222313568,2239.1933739464926,3035.2317687317272,-1739.4824046108383,-0.0,-0.0,232.75074156940877,0.0,0.0,0.08949719046769519,0.0,0.0,0.8376051556209122,0.0,-160.91946158827977,0.21530422934592536,8.052509325640887,0.0026547955640245347,-81.66711717275925,1.2281082893977253,0.18098689083961053,-1968.4159200957838,6.498287652220421,0.7249112727551998,2990.5183174843887,44.71345124733864
2025-01-01 00:01:00,20.77859280440173,0.15363711701769184,0.0,0.34630988007336216,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,20.524229353333332,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,On,16323.118346943276,17.77777777777783,1.0,4201.111006390056,19.785816853333333,0.7384125,1,19785.816853333334,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,37.9793716362634,51.666666666666686,46.10666666666668,0.0,51.381628027867194,0.0,0.0,0.0,37.9793716362634,50.513874439675405,51.381628027867194,50.079997645579525,12.43753247303448,17.903822783071366,0.0,11.389822934724705,-0.07973653623603263,2.8,9.236100170605994,14606.397359635946,2175.6173085115356,2764.3053058100563,-1774.4402073179292,-0.0,-0.0,232.75074156940877,0.0,0.0,0.09014815369216211,0.0,0.0,0.843697527348826,0.0,-175.03152155880917,0.2133429362043055,8.165369352609158,0.0026545137754146087,-82.20571166470532,1.2308924933378116,0.18135180906932175,-2030.129564390894,4.635866512373636,0.7249112727551998,2720.5409146347215,43.76439117533485
2025-01-01 00:02:00,0.2543634510683941,0.15363711701769184,0.0,0.004239390851139902,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,0.0,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,37.761030626611436,51.666666666666686,46.10666666666668,0.0,51.37805800417362,0.0,0.0,0.0,37.761030626611436,50.51067638770237,51.37805800417362,50.07698557946675,12.43753247303448,18.08826804540178,0.0,11.617114857790453,0.18476942651882883,2.8,9.236100170605994,-1764.5653208520705,-2084.8413829843867,2513.625265172911,-1808.6664615778152,-0.0,-0.0,232.75074156940877,0.0,0.0,0.09077840442317603,0.0,0.0,0.8495960506306451,0.0,-188.6496008436643,0.21085920072728903,8.252400630171122,0.0026542307700015743,-82.72311919800508,1.2301131620878811,0.18169062485983803,-2087.7412332430235,2.8998502586368655,0.7249112727551998,2470.657189236702,42.96807593620908
2025-01-01 00:03:00,0.2543634510683941,0.15363711701769184,0.0,0.004239390851139902,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,0.0,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,37.893785757275104,51.666666666666686,46.10666666666668,0.0,51.37450777975002,0.0,0.0,0.0,37.893785757275104,50.507496721128206,51.37450777975002,50.073991191817306,12.43753247303448,17.970975983567744,0.0,11.371503854890227,0.4296240190709534,2.8,9.236100170605994,-1739.7319779687862,-2020.5265518138153,2281.568146524337,-1786.871095089192,-0.0,-0.0,232.75074156940877,0.0,0.0,0.09037785940220477,0.0,0.0,0.8458473455274955,0.0,-185.611624449003,0.21239782409411184,8.196176348597024,0.002653945802911016,-82.26087012030938,1.2306089839305372,0.18132447391508372,-2025.494661213151,4.968109399335535,0.7249112727551998,2239.3384804617167,42.22966606262045
2025-01-01 00:04:00,0.2543634510683941,0.15363711701769184,0.0,0.004239390851139902,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,0.0,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,38.022432007277025,51.666666666666686,46.10666666666668,0.0,51.370945610679286,0.0,0.0,0.0,38.022432007277025,50.50430587591182,51.370945610679286,50.07098600852809,12.43753247303448,17.85720416474368,0.0,11.144620069466292,0.6563168575750071,2.8,9.236100170605994,-1715.8520508590352,-1961.5649578120851,2066.72804140318,-1765.8309450549916,-0.0,-0.0,232.75074156940877,0.0,0.0,0.08998852475949261,0.0,0.0,0.8422035584734734,0.0,-182.77184737345243,0.21390181872265882,8.141811486229344,0.0026536625423638502,-81.81046049367771,1.2310903118187075,0.18098558286469496,-1968.1953468750658,6.63038906298066,0.7249112727551998,2025.177520094469,41.55052130871145
2025-01-01 00:05:00,0.2543634510683941,0.15363711701769184,0.0,0.004239390851139902,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,0.0,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,38.14722213619732,51.666666666666686,46.10666666666668,0.0,51.36737186857833,0.0,0.0,0.0,38.14722213619732,50.50110419804139,51.36737186857833,50.06797036277292,12.43753247303448,17.74673569712212,0.0,10.934596034329482,0.8662240315896956,2.8,9.236100170605994,-1690.5524745996681,-1907.088897982623,1867.7995433605222,-1745.4971732412612,-0.0,-0.0,232.75074156940877,0.0,0.0,0.0896097246710888,0.0,0.0,0.8386583644250499,0.0,-177.8060429278155,0.21537310835981952,8.089189895267939,0.0026533809429181206,-81.37120078710099,1.2315580295515776,0.180671308264199,-1915.326563634406,8.237665651783095,0.7249112727551998,1826.874290616151,40.925252744371164
2025-01-01 00:06:00,0.2543634510683941,0.15363711701769184,0.0,0.004239390851139902,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,0.0,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,38.268320541059936,51.666666666666686,46.10666666666668,0.0,51.363786902207266,0.0,0.0,0.0,38.268320541059936,50.497892012221484,51.363786902207266,50.0649445672286,12.43753247303448,17.639429612438434,0.0,10.739893519000992,1.0606164067911361,2.8,9.236100170605994,-1665.534449072501,-1856.716579080005,1683.5775567013977,-1725.835784357809,-0.0,-0.0,232.75074156940877,0.0,0.0,0.08924103727002272,0.0,0.0,0.835207815124769,0.0,-172.44940628410077,0.21681268379962385,8.037576945998524,0.002653100961817252,-80.94264547040571,1.2320127029622054,0.1803794712962336,-1866.4632350385511,9.746655958546064,0.7249112727551998,1643.228181475979,40.349375225418626
2025-01-01 00:07:00,0.2543634510683941,0.15363711701769184,0.0,0.004239390851139902,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,0.0,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,38.38590245188787,51.666666666666686,46.10666666666668,0.0,51.360191045458784,0.0,0.0,0.0,38.38590245188787,50.49466962931364,51.360191045458784,50.06190892124108,12.43753247303448,17.535135617814703,0.0,10.55918537117987,1.2406677211516628,2.8,9.236100170605994,-1641.3075339168256,-1810.0837158379602,1512.9490648536723,-1706.8117566079059,-0.0,-0.0,232.75074156940877,0.0,0.0,0.08888200367800518,0.0,0.0,0.8318476159258508,0.0,-167.24651887832846,0.21822173569468029,7.987559575390993,0.0026528225580672734,-80.5243165514499,1.2324549400115492,0.1801081871820743,-1821.24022759562,11.15651175765991,0.7249112727551998,1473.1303404797973,39.818724373874936
2025-01-01 00:08:00,0.2543634510683941,0.15363711701769184,0.0,0.004239390851139902,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,0.0,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,38.500134832171106,51.666666666666686,46.10666666666668,0.0,51.35658461637887,0.0,0.0,0.0,38.500134832171106,50.491437345424146,51.35658461637887,50.058863709946785,12.43753247303448,17.433710510507947,0.0,10.391310517611918,1.407462037182116,2.8,9.236100170605994,-1617.9679535405387,-1766.8723270155922,1354.8861060757272,-1688.3920241475448,-0.0,-0.0,232.75074156940877,0.0,0.0,0.08853218453401679,0.0,0.0,0.8285736548438508,0.0,-162.3266709624026,0.2196014292795727,7.939061512974095,0.002652545692549718,-80.11575710517391,1.2328853211645243,0.17985580213548688,-1779.3396682338646,12.46734121827248,0.7249112727551998,1315.5566335175404,39.329472558186744
2025-01-01 00:09:00,0.2543634510683941,0.15363711701769184,0.0,0.004239390851139902,0.0025606186169615307,0.0,0.0286741991741265,0.0,0.21568925189426758,0.0,0.010000000000000002,0.0,0.0,0.15072045035102516,0.0,0.0029166666666666685,1,0,0,Off,0,0,Off,0,0,Off,0.03506475048252919,0.026298562861896885,On,0,0,Off,0.004021034356725146,0.0,On,0.0008350129075973444,0.0,On,0.02381815190980401,0,On,0.014728651426233983,0,On,0.1658958499855044,0.12442188748912827,On,0,0,Off,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,19785.816853333334,Off,0.0,21.111111111111143,0,0.0,0.010000000000000002,0.0,0.0,0,0,0,1661.1270577777777,Off,0.0,0.0,38.61117212427214,51.666666666666686,46.10666666666668,0.0,51.35296791791436,0.0,0.0,0.0,38.61117212427214,50.488195442600116,51.35296791791436,50.055809204942996,12.43753247303448,17.335021835102783,0.0,10.23523917902544,1.562000627389809,2.8,9.236100170605994,-1595.4760257778664,-1726.7991661768392,1208.439241527948,-1670.5460801629447,-0.0,-0.0,232.75074156940877,0.0,0.0,0.08819117303811895,0.0,0.0,0.8253821246338255,0.0,-157.6806871843305,0.22095284760226952,7.8913610811806,0.002652270327934901,-79.71654342434886,1.2333043836407194,0.1796208445324869,-1740.4811717744753,13.682005597635904,0.7249112727551998,1169.5611397424327,38.87810178551536
