Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.1146239927527,51.666666666666686,46.10666666666668,0.0,48.38099816295066,0.0,0.0,0.0,129.86659998867609,48.40956781677299,48.42385264368416,48.38099816295066,12.43753247303448,17.291396623921923,0.0,6.999763965354044,-0.8473908868751323,2.8,9.236100170605994,85.18717598199709,-2022.4160762927554,1296.8900922411397,-597.5606313936228,-0.0,-0.0,648.1939462455491,0.0,2.0,0.03164128280959467,0.0,0,0.4094711813335024,131.99922844444444,34.553861130070786,0.2508416128607424,8.272480064904986,0.00301326383888621,44.13355492697311,1.229629073568226,0.38236292066215927,-2092.754599597515,70.33852330475969,0.27184172728319994,1292.159371336884,4.730720904255625
2025-01-01 00:01:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.15680706564488,51.666666666666686,46.10666666666668,0.0,48.36717436891008,0.0,0.0,0.0,129.93251104007012,48.39661798490272,48.41133979289904,48.36717436891008,12.43753247303448,17.26262395946241,-0.015153818315418732,7.021745209946768,-0.6339485013450152,2.8,9.236100170605994,81.69039037107075,-2034.1939169673583,1221.3693893239258,-595.7499714149307,-0.0,-0.0,648.1939462455491,0.0,2.0,0.03160816501204732,0.0,0,0.40904260251239455,131.99922844444444,29.24641554045232,0.252050228898968,8.281434482190075,0.0030134741426178805,44.18167281875899,1.2333430044125062,0.38243744742046654,-2104.1179536328254,69.92403666546709,0.27184172728319994,1216.5432426417963,4.8261466821295835
2025-01-01 00:02:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.19898367554475,51.666666666666686,46.10666666666668,0.0,48.35334397578558,0.0,0.0,0.0,129.99841199303867,48.38366158061865,48.398820383035186,48.35334397578558,12.43753247303448,17.233847141352246,-0.04393063642558204,7.042126073054802,-0.43379492810785564,2.8,9.236100170605994,78.0964980591553,-2045.228749931629,1150.5962243182998,-593.9412530474424,-0.0,-0.0,648.1939462455491,0.0,2.0,0.03157502748547513,0.0,0,0.40861376837714036,131.99922844444444,23.84380486104861,0.2525271387103742,8.268521917456141,0.0030136840416671883,44.22991689436234,1.2334650716180702,0.38250653515946115,-2114.6577226949803,69.42897276335137,0.27184172728319994,1145.6349349263767,4.961289391923183
2025-01-01 00:03:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.24113163334034,51.666666666666686,46.10666666666668,0.0,48.339506984666116,0.0,0.0,0.0,130.06426817709428,48.37069860492775,48.38629441505858,48.339506984666116,12.43753247303448,17.2050744779515,-0.07270329982632973,7.061034090872477,-0.24608823468728508,2.8,9.236100170605994,74.42708984704154,-2055.4843374509232,1084.2035161364126,-592.1349998150217,-0.0,-0.0,648.1939462455491,0.0,2.0,0.031541879777789,0.0,0,0.40818480248765937,131.99922844444444,18.368143416514243,0.25300500383465624,8.255003561096824,0.0030138941491203905,44.27820560573762,1.233587145213144,0.3825706190411081,-2124.439043699996,68.95470624907279,0.27184172728319994,1079.1361771872932,5.06733894911951
2025-01-01 00:04:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.28323450455935,51.666666666666686,46.10666666666668,0.0,48.32566340033485,0.0,0.0,0.0,130.13005391337398,48.35772906229423,48.37376189327394,48.32566340033485,12.43753247303448,17.17631212661632,-0.10146565116150796,7.078584572568737,-0.07004518391748202,2.8,9.236100170605994,72.89565738921715,-2065.1120506386733,1021.937576280697,-590.3315979120558,-0.0,-0.0,648.1939462455491,0.0,2.0,0.03150872897443447,0.0,0,0.4077557965370025,131.99922844444444,15.033309055723905,0.2534837274545579,8.24148576169665,0.0030141044651471674,44.32652418744879,1.2337091990292623,0.38263009229719763,-2133.520869346666,68.40881870799282,0.27184172728319994,1016.769492379945,5.168083900752171
2025-01-01 00:05:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.3251336569196,51.666666666666686,46.10666666666668,0.0,48.31181323031092,0.0,0.0,0.0,130.19552133893689,48.34475295974289,48.361222824458885,48.31181323031092,12.43753247303448,17.14761948455744,-0.13015829322038996,7.094874149047301,0.09509237685430875,2.8,9.236100170605994,73.41876302691145,-2073.8006653845737,963.5362663854995,-588.5347636732992,-0.0,-0.0,648.1939462455491,0.0,2.0,0.031475643578297574,0.0,0,0.40732763702391994,131.99922844444444,13.759580454661531,0.25396235562825953,8.228000944120023,0.0030143149898514848,44.374729231615966,1.233830980595741,0.38268528445762356,-2141.9526040636315,68.1519386790578,0.27184172728319994,958.2662901378077,5.269976247691719
2025-01-01 00:06:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.36668628826612,51.666666666666686,46.10666666666668,0.0,48.29795650852373,0.0,0.0,0.0,130.2604473254158,48.331770329014525,48.34867723925993,48.29795650852373,12.43753247303448,17.119050047120442,-0.158727730657386,7.11000784676787,0.2500410654659898,2.8,9.236100170605994,74.7209919839189,-2082.1415873935716,908.7462426871797,-586.7478263540409,-0.0,-0.0,648.1939462455491,0.0,2.0,0.03144268540588416,0.0,0,0.4069011239184329,131.99922844444444,13.274872092410703,0.25444002142223615,8.215176810882575,0.0030145257226993727,44.422691218773046,1.2339522623323342,0.38273655315075594,-2149.788097960437,67.64651056686517,0.27184172728319994,903.3726946127392,5.373548074440426
2025-01-01 00:07:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.40784147962779,51.666666666666686,46.10666666666668,0.0,48.28409329267659,0.0,0.0,0.0,130.32475231191842,48.3187812240995,48.336125189810964,48.28409329267659,12.43753247303448,17.09062293194394,-0.18715484583388786,7.124054057223629,0.39547015833662197,2.8,9.236100170605994,76.0940501524982,-2089.6636582935676,857.3294048988525,-584.9719526581982,-0.0,-0.0,648.1939462455491,0.0,2.0,0.031409876699118246,0.0,0,0.40647654505422237,131.99922844444444,12.87205656514736,0.2549164058478387,8.20182598135925,0.0030147366625810426,44.470363457081824,1.2340729626515998,0.38278413159989644,-2157.062318666587,67.39866037301957,0.27184172728319994,851.8516015777107,5.4778033211419395
2025-01-01 00:08:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.44859722275376,51.666666666666686,46.10666666666668,0.0,48.27022364894843,0.0,0.0,0.0,130.38843316055275,48.30578570692171,48.32356673590836,48.27022364894843,12.43753247303448,17.062338952938177,-0.2154388248396515,7.137099985954492,0.5320030682084659,2.8,9.236100170605994,77.47178879735355,-2096.878754780847,809.0639963250909,-583.2071622239131,-0.0,-0.0,648.1939462455491,0.0,2.0,0.03137721859985756,0.0,0,0.40605391520811746,131.99922844444444,12.485004775717599,0.25539148356475305,8.188548312843464,0.0030149478081795502,44.51774344824235,1.2341930777447523,0.3828283165181876,-2163.8200459516274,66.94129117078023,0.27184172728319994,803.4821549078623,5.581841417228611
2025-01-01 00:09:00,0.5923225949015376,0.32913185981103144,0.0,0.00987204324835896,0.005485530996850524,0.0,0.03161748721170519,0.5107051076898323,0.0,0.05,0.0,0.0,0.0,0.3145485264776981,0,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0,0,Off,0.0035099780701754383,0.0,On,0.0011904960653685564,0.0,On,0.026917013076161195,0,On,0.09130707238623481,0,On,0.3732553871490422,0.2799415403617816,On,Off,0.0,17.77777777777783,0.0,0.0,0.0,0.0,0,0.0,11911.58224,Off,0.0,24.444444444444457,0,0.0,0.05,0.0,0.0,0,0,0,7792.467773333334,Off,0.0,0,83.48895559282643,51.666666666666686,46.10666666666668,0.0,48.256347643850475,0.0,0.0,0.0,130.4514931137913,48.29278383971795,48.31100193765169,48.256347643850475,12.43753247303448,17.034197395601893,-0.24358038217593503,7.149202249371568,0.6602206688032926,2.8,9.236100170605994,78.78186568411536,-2103.4573362815618,763.7435768015671,-581.4533793778165,-0.0,-0.0,648.1939462455491,0.0,2.0,0.0313447104851215,0.0,0,0.4056332263181,131.99922844444444,12.041298816382863,0.25586525391905834,8.175343451707484,0.00301515915816742,44.56483239174148,1.2343126103030773,0.3828693008016327,-2170.0902767301122,66.63294044855064,0.27184172728319994,758.0585687561523,5.685008045414699
