Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,Basement Lighting Electric Power (kW),Basement Lighting Reactive Power (kVAR),Basement Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W)
2025-01-01 00:00:00,0.36574225708641805,0.21553554349179818,0.0,0.006095704284773634,0.0035922590581966363,0.0,0.030708712983835505,0.0,0.31503354410258255,0.0,0.020000000000000004,0.0,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,Off,0.0,15.0555555555556,0.0,0.0,0.0,0.0,0,0.0,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,41.67675241583217,51.666666666666686,46.10666666666668,0.0,50.909108205380306,0.0,0.0,0.0,41.67675241583217,50.96189104160023,50.988282459710206,50.909108205380306,12.43753247303448,15.140126374488046,0.0,-2.803986088805401,2.8,9.236100170605994,-857.529030728428,80.96103663330133,-1282.932467389777,-0.0,-0.0,461.2454557930428,0.0,2.0,0.07977494929237376,0.0,0,2.0647419969751213,131.99922844444444,-35.842019131693895,0.2873967634885579,7.235984832925097,0.003009646620481446,-58.48697601951567,1.2388074786721375,0,0,80.96103663330133
2025-01-01 00:01:00,0.36574225708641805,0.21553554349179818,0.0,0.006095704284773634,0.0035922590581966363,0.0,0.030708712983835505,0.0,0.31503354410258255,0.0,0.020000000000000004,0.0,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,Off,0.0,15.0555555555556,0.0,0.0,0.0,0.0,0,0.0,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,41.80346890166656,51.666666666666686,46.10666666666668,0.0,50.905348364485306,0.0,0.0,0.0,41.80346890166656,50.958381651777515,50.98489829542363,50.905348364485306,12.43753247303448,15.027699036617072,0.0,-2.673426697751912,2.8,9.236100170605994,-842.7958918130979,79.329776478843,-1267.3297438168613,-0.0,-0.0,461.2454557930428,0.0,2.0,0.07952931375768647,0.0,0,2.058384437253466,131.99922844444444,-36.7116037892794,0.2902763732402783,7.2022824078831,0.0030090933499545263,-57.83629140877729,1.2429113206879698,0,0,79.329776478843
2025-01-01 00:02:00,0.36574225708641805,0.21553554349179818,0.0,0.006095704284773634,0.0035922590581966363,0.0,0.030708712983835505,0.0,0.31503354410258255,0.0,0.020000000000000004,0.0,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,Off,0.0,15.0555555555556,0.0,0.0,0.0,0.0,0,0.0,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,41.92616228925939,51.666666666666686,46.10666666666668,0.0,50.90157710606557,0.0,0.0,0.0,41.92616228925939,50.95486159179651,50.98150383466198,50.90157710606557,12.43753247303448,14.918718723677427,0.0,-2.5454577665919027,2.8,9.236100170605994,-828.6696713332982,78.01860217079566,-1252.272877947922,-0.0,-0.0,461.2454557930428,0.0,2.0,0.0792911318197138,0.0,0,2.052219792153527,131.99922844444444,-37.64224917841893,0.29226859281052525,7.148410143516898,0.003008548041186992,-57.203951455104196,1.2433819398689496,0,0,78.01860217079566
2025-01-01 00:03:00,0.36574225708641805,0.21553554349179818,0.0,0.006095704284773634,0.0035922590581966363,0.0,0.030708712983835505,0.0,0.31503354410258255,0.0,0.020000000000000004,0.0,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,Off,0.0,15.0555555555556,0.0,0.0,0.0,0.0,0,0.0,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,42.04501875518342,51.666666666666686,46.10666666666668,0.0,50.89779479397923,0.0,0.0,0.0,42.04501875518342,50.95133120042207,50.97809940364349,50.89779479397923,12.43753247303448,14.813025762625626,0.0,-2.4199043140744663,2.8,9.236100170605994,-815.1819468620432,76.71494300315071,-1237.7337298877362,-0.0,-0.0,461.2454557930428,0.0,2.0,0.0790600647764539,0.0,0,2.0462392953613944,131.99922844444444,-38.69367276734982,0.2942144548382114,7.0957519761551175,0.0030080088985713566,-56.588745436482434,1.2438387109649842,0,0,76.71494300315071
2025-01-01 00:04:00,0.36574225708641805,0.21553554349179818,0.0,0.006095704284773634,0.0035922590581966363,0.0,0.030708712983835505,0.0,0.31503354410258255,0.0,0.020000000000000004,0.0,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,Off,0.0,15.0555555555556,0.0,0.0,0.0,0.0,0,0.0,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,42.160217183533945,51.666666666666686,46.10666666666668,0.0,50.89400177524769,0.0,0.0,0.0,42.160217183533945,50.94779080074209,50.9746853134893,50.89400177524769,12.43753247303448,14.710466732313218,0.0,-2.296639854338891,2.8,9.236100170605994,-800.9223472617456,75.45429199703207,-1223.6855647542486,-0.0,-0.0,461.2454557930428,0.0,2.0,0.07883578647954347,0.0,0,2.040434505477494,131.99922844444444,-38.482238300539706,0.2961156158813262,7.0447616384061185,0.003007475750081105,-55.989904086609805,1.2442822663680009,0,0,75.45429199703207
2025-01-01 00:05:00,0.36574225708641805,0.21553554349179818,0.0,0.006095704284773634,0.0035922590581966363,0.0,0.030708712983835505,0.0,0.31503354410258255,0.0,0.020000000000000004,0.0,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,Off,0.0,15.0555555555556,0.0,0.0,0.0,0.0,0,0.0,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,42.27184573364592,51.666666666666686,46.10666666666668,0.0,50.89019838071511,0.0,0.0,0.0,42.27184573364592,50.94424070078154,50.971261860814764,50.89019838071511,12.43753247303448,14.610966171569387,0.0,-2.1755589866999414,2.8,9.236100170605994,-786.2120559067802,74.2383731965497,-1210.1127703775358,-0.0,-0.0,461.2454557930428,0.0,2.0,0.07861814032006458,0.0,0,2.034801369136543,131.99922844444444,-37.3447413222872,0.2979723374294478,6.995400631410073,0.003006948431592341,-55.407014718510645,1.244712903986844,0,0,74.2383731965497
2025-01-01 00:06:00,0.36574225708641805,0.21553554349179818,0.0,0.006095704284773634,0.0035922590581966363,0.0,0.030708712983835505,0.0,0.31503354410258255,0.0,0.020000000000000004,0.0,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,Off,0.0,15.0555555555556,0.0,0.0,0.0,0.0,0,0.0,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,42.380005896110205,51.666666666666686,46.10666666666668,0.0,50.88638493325132,0.0,0.0,0.0,42.380005896110205,50.94068120114191,50.96782933508722,50.88638493325132,12.43753247303448,14.514437153878538,-0.041118401677062266,-2.0565726077791764,2.8,9.236100170605994,-771.7399762475053,73.06869661424179,-1196.9984963710851,-0.0,-0.0,461.2454557930428,0.0,2.0,0.07840694383451635,0.0,0,2.029335163802751,131.99922844444444,-35.98693566946288,0.29978516384116294,6.947104004936518,0.0030064267833525577,-54.83961448914925,1.2451309730552098,0,0,73.06869661424179
2025-01-01 00:07:00,0.36574225708641805,0.21553554349179818,0.0,0.006095704284773634,0.0035922590581966363,0.0,0.030708712983835505,0.0,0.31503354410258255,0.0,0.020000000000000004,0.0,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,Off,0.0,15.0555555555556,0.0,0.0,0.0,0.0,0,0.0,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,42.48483367812889,51.666666666666686,46.10666666666668,0.0,50.882561746546564,0.0,0.0,0.0,42.48483367812889,50.9371125938787,50.96438801754477,50.882561746546564,12.43753247303448,14.420763078461336,-0.13479247709426367,-1.9396035284372186,2.8,9.236100170605994,-757.7489598410644,71.94496624563334,-1184.3222136835816,-0.0,-0.0,461.2454557930428,0.0,2.0,0.07820194887692404,0.0,0,2.024029466940974,131.99922844444444,-34.67220195052566,0.30155528390127995,6.900335698772713,0.003005910650452381,-54.287108301981895,1.245536953098068,0,0,71.94496624563334
2025-01-01 00:08:00,0.36574225708641805,0.21553554349179818,0.0,0.006095704284773634,0.0035922590581966363,0.0,0.030708712983835505,0.0,0.31503354410258255,0.0,0.020000000000000004,0.0,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,Off,0.0,15.0555555555556,0.0,0.0,0.0,0.0,0,0.0,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,42.58647271705227,51.666666666666686,46.10666666666668,0.0,50.87872912199088,0.0,0.0,0.0,42.58647271705227,50.9335351595949,50.960938178396916,50.87872912199088,12.43753247303448,14.329820774836984,-0.22573478071861608,-1.824583572314348,2.8,9.236100170605994,-744.2632731277719,70.86592031372079,-1172.062886327989,-0.0,-0.0,461.2454557930428,0.0,2.0,0.07800289218642258,0.0,0,2.0188774648111956,131.99922844444444,-33.4458425928258,0.30328409442496107,6.854515557830741,0.0030053998841010647,-53.74887404999145,1.2459313541324488,0,0,70.86592031372079
2025-01-01 00:09:00,0.7956005904197514,0.21553554349179818,0.387842105263158,0.01326000984032919,0.0035922590581966363,0.0064640350877193,0.030708712983835505,0.0,0.31503354410258255,0.4298583333333334,0.020000000000000004,0.387842105263158,0.0,0.0,0.20970221015846485,0,0.005833333333333337,1,0,0,Off,0,0,Off,0.043945379194814636,0.03295903439611097,On,0,0,Off,0.00284234283625731,0.0,On,0.013933185073789097,0,On,0.013933185073789097,0.0,On,0.035430597224629365,0,On,0.23565756768313856,0.17674317576235388,On,On,7437.540920839015,15.0555555555556,0.7599999999999999,1630.8814836054305,11.366531672514622,0.4298583333333334,1,8638.564071111112,8638.564071111112,Off,0.0,16.0555555555556,0,0.0,0.020000000000000004,0.0,0.0,0,0,0,1821.7300266666666,Off,0.0,0.0,42.6850615218552,51.666666666666686,46.10666666666668,0.0,50.87488734798431,0.0,0.0,0.0,42.6850615218552,50.92994916679855,50.95748007620567,50.87488734798431,12.43753247303448,14.241491468374248,-0.31406408718135204,-1.7114515499733858,2.8,9.236100170605994,5218.778885117861,3188.219399737422,-1160.200440729671,-0.0,-0.0,461.2454557930428,0.0,2.0,0.07780951944446803,0.0,0,2.013872575119314,131.99922844444444,-32.29886661672151,0.3049729852322072,6.810611709858206,0.003004894341867778,-53.22431236915758,1.2463146691094937,0,0,69.82973196418837
