Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Lighting Reactive Power (kVAR),Water Heating Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),HVAC Cooling Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Ceiling Fan Electric Power (kW),Ceiling Fan Reactive Power (kVAR),Ceiling Fan Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),HVAC Heating ER Power (kW),HVAC Cooling Mode,HVAC Cooling Delivered (W),HVAC Cooling Setpoint (C),HVAC Cooling COP (-),HVAC Cooling Duct Losses (W),HVAC Cooling Main Power (kW),HVAC Cooling Fan Power (kW),HVAC Cooling Latent Gains (W),HVAC Cooling SHR (-),HVAC Cooling Speed (-),HVAC Cooling Capacity (W),HVAC Cooling Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3)
2025-01-01 00:00:00,2.1125244263832252,1.3230051561730338,0.0,0.03520874043972042,0.02205008593621723,0.0,0.02771558393592244,0.0,0.22812586968876158,1.8066829727585412,0.05,0.0,0.0,0.14141990892140072,1.1670019139182997,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3403.6143897101233,20.611111111111143,2.0006034126570142,0.0,1.595968389425208,0.21071458333333334,1,3192.89980637679,3192.89980637679,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.82747608960819,51.666666666666686,46.10666666666668,0.0,50.52231477915375,0.0,0.0,0.0,33.82747608960819,48.156710337751065,50.52231477915375,46.973908117049724,12.43753247303448,19.170294107805447,-0.9408170033056962,2.8,9.236100170605994,2459.1087262393316,-1348.0726070249148,-0.0,-0.0,377.4164581602036,0.0,2.0,0.06318866062504562,0.0,0,0.8319543668167613,131.99922844444444,26.150485393919254,0.21432230875988037,9.013874562030374,0.0028964632604624252,-3.0809318917626434,1.2218116745212209
2025-01-01 00:01:00,2.113432026769975,1.3235914081078672,0.0,0.035223867112832916,0.022059856801797787,0.0,0.02771558393592244,0.0,0.22812586968876158,1.8075905731452913,0.05,0.0,0.0,0.14141990892140072,1.167588165853133,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3403.1771264463177,20.611111111111143,1.9991925255817244,0.0,1.5968759898119578,0.21071458333333334,1,3192.4625431129843,3192.4625431129843,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.791463676825146,51.666666666666686,46.10666666666668,0.0,50.51888505956823,0.0,0.0,0.0,33.791463676825146,48.1538618960315,50.51888505956823,46.97135031426315,12.43753247303448,19.19837574073999,-0.912735370371152,2.8,9.236100170605994,2447.256952775592,-1351.3955961661668,-0.0,-0.0,377.4164581602036,0.0,2.0,0.0632359451546502,0.0,0,0.8325769242582116,131.99922844444444,18.058964335237192,0.21457132467162074,9.050346069570292,0.002896448228311931,-3.159225441735044,1.2252630513556775
2025-01-01 00:02:00,2.114302770153127,1.3241538527702634,0.0,0.03523837950255212,0.02206923087950439,0.0,0.02771558393592244,0.0,0.22812586968876158,1.808461316528443,0.05,0.0,0.0,0.14141990892140072,1.1681506105155293,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3402.7577631322038,20.611111111111143,1.9978405297162152,0.0,1.5977467331951098,0.21071458333333334,1,3192.0431797988704,3192.0431797988704,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.756805836488745,51.666666666666686,46.10666666666668,0.0,50.5154586872063,0.0,0.0,0.0,33.756805836488745,48.1510164867362,50.5154586872063,46.96879538650116,12.43753247303448,19.225296206570643,-0.8858149045404993,2.8,9.236100170605994,2435.610917215183,-1354.584207645104,-0.0,-0.0,377.4164581602036,0.0,2.0,0.06328126410015356,0.0,0,0.8331736024317653,131.99922844444444,10.020903567879458,0.21421049496719655,9.062880115603981,0.00289643285757928,-3.2340663218727435,1.2251502465773882
2025-01-01 00:03:00,2.115138619188475,1.3246937579106262,0.0,0.03525231031980792,0.022078229298510436,0.0,0.02771558393592244,0.0,0.22812586968876158,1.8092971655637913,0.05,0.0,0.0,0.14141990892140072,1.168690515655892,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3402.355336637136,20.611111111111143,1.9965441815652683,0.0,1.5985825822304578,0.21071458333333334,1,3191.6407533038027,3191.6407533038027,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.7234288343986,51.666666666666686,46.10666666666668,0.0,50.512035539547455,0.0,0.0,0.0,33.7234288343986,48.14817399580342,50.512035539547455,46.9662432239314,12.43753247303448,19.251118763033837,-0.8599923480773057,2.8,9.236100170605994,2424.110018725355,-1357.6455597173754,-0.0,-0.0,377.4164581602036,0.0,2.0,0.06332472522888968,0.0,0,0.8337458202233935,131.99922844444444,1.9837836453904458,0.21386494865217806,9.074813529087624,0.002896417121270893,-3.3056345521025867,1.2250420626179408
2025-01-01 00:04:00,2.115941242280003,1.325212201211466,0.0,0.035265687371333385,0.0220868700201911,0.0,0.02771558393592244,0.0,0.22812586968876158,1.8100997886553192,0.05,0.0,0.0,0.14141990892140072,1.1692089589567318,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3401.9690274800414,20.611111111111143,1.9953007152546778,0.0,1.599385205321986,0.21071458333333334,1,3191.254444146708,3191.254444146708,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.69126984974174,51.666666666666686,46.10666666666668,0.0,50.50861550073904,0.0,0.0,0.0,33.69126984974174,48.1453343153802,50.50861550073904,46.96369372270078,12.43753247303448,19.275897294564174,-0.8352138165469682,2.8,9.236100170605994,2415.971687814327,-1360.5857002977548,-0.0,-0.0,377.4164581602036,0.0,2.0,0.06336642039378317,0.0,0,0.8342947869868151,131.99922844444444,-2.828097528162914,0.21353388932344758,9.08617583846643,0.0028964010353056337,-3.374091408231974,1.224938271307218
2025-01-01 00:05:00,2.1167147621751323,1.3257118457045403,0.0,0.03527857936958554,0.022095197428409003,0.0,0.02771558393592244,0.0,0.22812586968876158,1.8108733085504485,0.05,0.0,0.0,0.14141990892140072,1.169708603449806,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3401.596837140399,20.611111111111143,1.9941035870514132,0.0,1.600158725217115,0.21071458333333334,1,3190.882253807066,3190.882253807066,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.66017828501683,51.666666666666686,46.10666666666668,0.0,50.505198460609485,0.0,0.0,0.0,33.66017828501683,48.142497342903425,50.505198460609485,46.9611467840504,12.43753247303448,19.299761131765543,-0.8113499793456,2.8,9.236100170605994,2410.6488752515206,-1363.419676545691,-0.0,-0.0,377.4164581602036,0.0,2.0,0.06340656824201422,0.0,0,0.8348233814739229,131.99922844444444,-4.944743503391166,0.21321552709112665,9.097037424984372,0.0028963846148226113,-3.4398160277368794,1.2248383287431355
2025-01-01 00:06:00,2.11746260572255,1.3261949049154296,0.0,0.035291043428709166,0.02210324841525716,0.0,0.02771558393592244,0.0,0.22812586968876158,1.8116211520978664,0.05,0.0,0.0,0.14141990892140072,1.1701916626606954,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3401.2371047332845,20.611111111111143,1.992947360983203,0.0,1.600906568764533,0.21071458333333334,1,3190.522521399951,3190.522521399951,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.63002900725577,51.666666666666686,46.10666666666668,0.0,50.501784322604394,0.0,0.0,0.0,33.63002900725577,48.139662988491025,50.501784322604394,46.95860232143435,12.43753247303448,19.322817732430057,-0.788293378681086,2.8,9.236100170605994,2406.6072263111996,-1366.1599968622818,-0.0,-0.0,377.4164581602036,0.0,2.0,0.06344535042184841,0.0,0,0.8353339953016028,131.99922844444444,-5.886339720006845,0.21290837624955872,9.10745677120887,0.002896367873115674,-3.5031235324949512,1.224741783052049
2025-01-01 00:07:00,2.118186771976607,1.3266626701056827,0.0,0.035303112866276784,0.02211104450176138,0.0,0.02771558393592244,0.0,0.22812586968876158,1.8123453183519234,0.05,0.0,0.0,0.14141990892140072,1.1706594278509486,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3400.8888582347104,20.611111111111143,1.9918288311720922,0.0,1.60163073501859,0.21071458333333334,1,3190.174274901377,3190.174274901377,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.60074845853322,51.666666666666686,46.10666666666668,0.0,50.4983730014841,0.0,0.0,0.0,33.60074845853322,48.136831172797756,50.4983730014841,46.95606025845459,12.43753247303448,19.34513023757868,-0.7659808735324631,2.8,9.236100170605994,2402.528108382274,-1368.813945747873,-0.0,-0.0,377.4164581602036,0.0,2.0,0.06348287389124177,0.0,0,0.8358280366993968,131.99922844444444,-6.963262264767366,0.21261154901777304,9.11814918463639,0.0028963508219448314,-3.5642002929824748,1.2246483682573153
2025-01-01 00:08:00,2.1188880758093207,1.327115667630625,0.0,0.035314801263488675,0.022118594460510416,0.0,0.02771558393592244,0.0,0.22812586968876158,1.8130466221846369,0.05,0.0,0.0,0.14141990892140072,1.1711124253758909,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3400.551696299525,20.611111111111143,1.99074663404531,0.0,1.6023320388513036,0.21071458333333334,1,3189.8371129661914,3189.8371129661914,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.57230574362609,51.666666666666686,46.10666666666668,0.0,50.49496441866043,0.0,0.0,0.0,33.57230574362609,48.13400182267231,50.49496441866043,46.953520524678254,12.43753247303448,19.366725127385852,-0.7443859837252909,2.8,9.236100170605994,2398.4014635140657,-1371.3844725110873,-0.0,-0.0,377.4164581602036,0.0,2.0,0.06351918386818876,0.0,0,0.8363061010163367,131.99922844444444,-8.18221843457529,0.2123246491283072,9.127768153065087,0.00289633347216447,-3.6231263379157617,1.2245579720680548
2025-01-01 00:09:00,2.1195672680921476,1.3275543825053036,0.0,0.035326121134869125,0.02212590637508839,0.0,0.02771558393592244,0.0,0.22812586968876158,1.813725814467464,0.05,0.0,0.0,0.14141990892140072,1.1715511402505694,0.01458333333333334,1,0,0,Off,0,0,Off,0,0,Off,0.03964239414865571,0.029731795611491772,On,0.0,0,Off,0.0034871436403508763,0.0,On,0.024228440295571564,0,On,0.03956599112689391,0,On,0.14891748441321195,0.11168811330990894,On,0,0,Off,HP On,3400.22524910519,20.611111111111143,1.9896995129068917,0.0,1.6030112311341307,0.21071458333333334,1,3189.5106657718566,3189.5106657718566,0.0,Off,0.0,21.611111111111143,0,0.0,0.05,0.0,0.0,0,0,0,4234.584484444445,Off,0.0,0.0,33.54467238841437,51.666666666666686,46.10666666666668,0.0,50.49155849833943,0.0,0.0,0.0,33.54467238841437,48.13117486756491,50.49155849833943,46.950983052177655,12.43753247303448,19.387626803531163,-0.7234843075799802,2.8,9.236100170605994,2394.9257717846276,-1373.8742946959694,-0.0,-0.0,377.4164581602036,0.0,2.0,0.06355432202279734,0.0,0,0.8367687368892817,131.99922844444444,-8.84164078479678,0.21204731145217345,9.137689459227055,0.0028963158342425405,-3.6799755204000326,1.2244704910050335
