Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Total Electric Energy (kWh),Total Reactive Energy (kVARh),Total Gas Energy (therms),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),Other Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Lighting Reactive Power (kVAR),Other Reactive Power (kVAR),HVAC Heating Reactive Power (kVAR),Grid Voltage (-),Clothes Washer Electric Power (kW),Clothes Washer Reactive Power (kVAR),Clothes Washer Mode,Clothes Dryer Electric Power (kW),Clothes Dryer Reactive Power (kVAR),Clothes Dryer Mode,Dishwasher Electric Power (kW),Dishwasher Reactive Power (kVAR),Dishwasher Mode,Refrigerator Electric Power (kW),Refrigerator Reactive Power (kVAR),Refrigerator Mode,Cooking Range Electric Power (kW),Cooking Range Reactive Power (kVAR),Cooking Range Mode,Exterior Lighting Electric Power (kW),Exterior Lighting Reactive Power (kVAR),Exterior Lighting Mode,Garage Lighting Electric Power (kW),Garage Lighting Reactive Power (kVAR),Garage Lighting Mode,Indoor Lighting Electric Power (kW),Indoor Lighting Reactive Power (kVAR),Indoor Lighting Mode,TV Electric Power (kW),TV Reactive Power (kVAR),TV Mode,MELs Electric Power (kW),MELs Reactive Power (kVAR),MELs Mode,Spa Pump Electric Power (kW),Spa Pump Reactive Power (kVAR),Spa Pump Mode,Spa Heater Gas Power (therms/hour),Spa Heater Mode,HVAC Heating Mode,HVAC Heating Delivered (W),HVAC Heating Setpoint (C),HVAC Heating COP (-),HVAC Heating Duct Losses (W),HVAC Heating Main Power (kW),HVAC Heating Fan Power (kW),HVAC Heating Speed (-),HVAC Heating Capacity (W),HVAC Heating Max Capacity (W),Water Heating Mode,Water Heating Delivered (W),Water Heating COP (-),Water Heating Total Sensible Heat Gain (W),Water Heating Deadband Upper Limit (C),Water Heating Deadband Lower Limit (C),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Hot Water Delivered (L/min),Hot Water Delivered (W),Hot Water Heat Injected (W),Hot Water Heat Loss (W),Hot Water Average Temperature (C),Hot Water Maximum Temperature (C),Hot Water Minimum Temperature (C),Hot Water Mains Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),Temperature - Foundation (C),Temperature - Garage (C),Temperature - Outdoor (C),Temperature - Ground (C),Net Sensible Heat Gain - Indoor (W),Net Sensible Heat Gain - Foundation (W),Net Sensible Heat Gain - Garage (W),Infiltration Heat Gain - Indoor (W),Forced Ventilation Heat Gain - Indoor (W),Natural Ventilation Heat Gain - Indoor (W),Internal Heat Gain - Indoor (W),Window Transmitted Solar Gain (W),Occupancy (Persons),Infiltration Flow Rate - Indoor (m^3/s),Forced Ventilation Flow Rate - Indoor (m^3/s),Natural Ventilation Flow Rate - Indoor (m^3/s),Air Changes per Hour - Indoor (1/hour),Occupancy Heat Gain - Indoor (W),Radiation Heat Gain - Indoor (W),Relative Humidity - Indoor (-),Wet Bulb - Indoor (C),Humidity Ratio - Indoor (-),Net Latent Heat Gain - Indoor (W),Air Density - Indoor (kg/m^3),Infiltration Flow Rate - Foundation (m^3/s),Infiltration Heat Gain - Foundation (W),Radiation Heat Gain - Foundation (W),Infiltration Flow Rate - Garage (m^3/s),Infiltration Heat Gain - Garage (W),Radiation Heat Gain - Garage (W)
2025-01-01 00:00:00,0.7879362961293592,0.42701600039827253,0.8485687204872092,0.013132271602155987,0.007116933339971209,0.014142812008120153,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.8429500000000001,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,On,14822.657586666666,19.444444444444457,0.5999999999999999,0.0,24.704429311111113,0.0,1,14822.657586666666,14822.657586666666,Off,0.0,0,80.00515996503819,51.666666666666686,46.10666666666668,0.0,50.79053760154547,0.23462015266442676,627.3376110438114,0.0,125.00806244537216,49.32926853146775,50.79053760154547,48.59863399642889,12.43753247303448,19.53350766766009,0.0,6.54254987800674,-1.2447405389486343,2.8,9.236100170605994,13035.041538366877,-3182.1553815408242,1915.674540073685,-2482.8746666617253,-0.0,-0.0,846.1724387135846,0.0,3.0,0.11385448897107715,0.0,0,0.8303487837271891,197.99884266666666,-150.91382035164747,0.21248798165574337,9.227615827167003,0.002937540391323385,-35.14699970356236,1.2202651952789145,0.6757196875653025,-3295.731489366337,113.57610782551282,0.3624556363775999,1910.5709822458462,5.103557827838847
2025-01-01 00:01:00,0.7879362961293592,0.42701600039827253,0.8485687204872092,0.013132271602155987,0.007116933339971209,0.014142812008120153,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.8429500000000001,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,On,14822.657586666666,19.444444444444457,0.5999999999999999,0.0,24.704429311111113,0.0,1,14822.657586666666,14822.657586666666,Off,0.0,0,79.56126078501046,51.666666666666686,46.10666666666668,0.0,50.7671096143263,0.234763558314787,627.3376110438112,0.0,124.31446997657883,49.25424731753853,50.7671096143263,48.49781616914465,12.43753247303448,19.625682714977906,0.0,6.572607388126581,-0.9600195931063012,2.8,9.236100170605994,12994.494038326557,-3210.145755631439,1781.1504791239977,-2502.7312694735874,-0.0,-0.0,846.1724387135846,0.0,3.0,0.1141363218200368,0.0,0,0.8324042104869321,197.99884266666666,-171.60471758010738,0.2118845980931104,9.29312622691118,0.0029374452810651064,-35.63396227089248,1.2234445178134328,0.6759012491058475,-3323.093124559692,112.94736892825308,0.3624556363775999,1776.0803834235664,5.070095700431271
2025-01-01 00:02:00,0.7879362961293592,0.42701600039827253,0.005618720487209079,0.013132271602155987,0.007116933339971209,9.364534145348466e-05,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.0,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14822.657586666666,Off,0.0,0,79.12452571993869,51.666666666666686,46.10666666666668,0.0,50.743730403293945,0.23490684026572722,627.3376110438113,0.0,123.63207143740419,49.17929526616426,50.743730403293945,48.39707769759942,12.43753247303448,19.715256378865504,0.0,6.6007682449641205,-0.6968604421934713,2.8,9.236100170605994,-1867.9793017341087,-3236.8318096417015,1656.8782868751418,-2522.0874384087288,-0.0,-0.0,846.1724387135846,0.0,3.0,0.11440997811555642,0.0,0,0.834400005068222,197.99884266666666,-192.0643020389644,0.21070234874835767,9.334377582533545,0.0029373491036359107,-36.10524221239751,1.2230703948191424,0.6760713097248194,-3348.7409053114898,111.90909566978843,0.3624556363775999,1651.7746998809578,5.103586994184131
2025-01-01 00:03:00,0.7879362961293592,0.42701600039827253,0.005618720487209079,0.013132271602155987,0.007116933339971209,9.364534145348466e-05,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.0,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14822.657586666666,Off,0.0,0,79.25780370352346,51.666666666666686,46.10666666666668,0.0,50.72039878563276,0.23505000500523035,627.3376110438112,0.0,123.8403182867554,49.104411261126394,50.72039878563276,48.29641749887322,12.43753247303448,19.592470907338683,0.0,6.627170107765142,-0.4535876969310194,2.8,9.236100170605994,-1843.5006130897707,-3261.5101830021745,1541.9841809822622,-2495.569473096934,-0.0,-0.0,846.1724387135846,0.0,3.0,0.1140348007389142,0.0,0,0.8316638101127822,197.99884266666666,-194.1035787064216,0.21230834262354842,9.278274565592255,0.002937251624395453,-35.375945125557166,1.223583461260612,0.6762307091096386,-3372.797808200154,111.2876251979803,0.3624556363775999,1536.862545839418,5.121635142844399
2025-01-01 00:04:00,0.7879362961293592,0.42701600039827253,0.005618720487209079,0.013132271602155987,0.007116933339971209,9.364534145348466e-05,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.0,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14822.657586666666,Off,0.0,0,79.38158757104611,51.666666666666686,46.10666666666668,0.0,50.69701987053526,0.23519363510810112,627.3376110438113,0.0,124.03373057975955,49.029506490459134,50.69701987053526,48.195749800421076,12.43753247303448,19.473201928242688,0.0,6.651955678045077,-0.2286643473054646,2.8,9.236100170605994,-1816.5225775590445,-3284.7307051822945,1435.765108118849,-2469.9173477333106,-0.0,-0.0,846.1724387135846,0.0,3.0,0.11366997346544731,0.0,0,0.8290030991866572,197.99884266666666,-192.7776685393187,0.21388148819048178,9.223281835668864,0.00293715615420672,-34.66674454380632,1.2240822466538481,0.6763803160565655,-3395.391785112539,110.66107993024453,0.3624556363775999,1430.6179002593028,5.147207859546424
2025-01-01 00:05:00,0.7879362961293592,0.42701600039827253,0.005618720487209079,0.013132271602155987,0.007116933339971209,9.364534145348466e-05,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.0,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14822.657586666666,Off,0.0,0,79.49639879143062,51.666666666666686,46.10666666666668,0.0,50.673595251587194,0.2353377221526623,627.3376110438113,0.0,124.21312311161034,48.95458243341126,50.673595251587194,48.0950760243233,12.43753247303448,19.357256589176437,0.0,6.675240470218405,-0.0206495244388282,2.8,9.236100170605994,-1784.156046870043,-3306.549350378755,1337.5454211808649,-2445.080737542025,-0.0,-0.0,846.1724387135846,0.0,3.0,0.11331494001434783,0.0,0,0.8264138152948484,197.99884266666666,-185.24774804160248,0.21542333011237086,9.16998668691361,0.002937062636082184,-33.97657508809854,1.224567522949506,0.6765208340914017,-3416.626338541802,110.07698816304675,0.3624556363775999,1332.3601552645373,5.185265916327669
2025-01-01 00:06:00,0.7879362961293592,0.42701600039827253,0.005618720487209079,0.013132271602155987,0.007116933339971209,9.364534145348466e-05,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.0,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14822.657586666666,Off,0.0,0,79.602527119671,51.666666666666686,46.10666666666668,0.0,50.65012643549993,0.23548225821124605,627.3376110438113,0.0,124.37894862448593,48.87964048798311,50.65012643549993,47.9943975142247,12.43753247303448,19.244528308988667,0.0,6.697129411935675,0.17179111028007343,2.8,9.236100170605994,-1751.017060293302,-3327.0554900192124,1246.694074637592,-2421.028574334223,-0.0,-0.0,846.1724387135846,0.0,3.0,0.11296940530462966,0.0,0,0.823893806391002,197.99884266666666,-176.16092467266378,0.21693434331846195,9.117662875451732,0.0029369710161028686,-33.304856598248506,1.2250397041093195,0.6766529019002431,-3436.595588340993,109.54009832178056,0.3624556363775999,1241.4590235458445,5.2350510917475175
2025-01-01 00:07:00,0.7879362961293592,0.42701600039827253,0.005618720487209079,0.013132271602155987,0.007116933339971209,9.364534145348466e-05,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.0,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14822.657586666666,Off,0.0,0,79.70035942581002,51.666666666666686,46.10666666666668,0.0,50.62661488069091,0.23562723561503346,627.3376110438112,0.0,124.53181160282816,48.80468200702918,50.62661488069091,47.89371557019832,12.43753247303448,19.134874269501143,0.0,6.717717678522671,0.3498854129425034,2.8,9.236100170605994,-1718.7292400869976,-3346.3410575826006,1162.6289231802355,-2397.722666078769,-0.0,-0.0,846.1724387135846,0.0,3.0,0.11263296084442774,0.0,0,0.8214400933152585,197.99884266666666,-167.17901272181274,0.2184155537754944,9.0675860155747,0.002936881242070841,-32.650800856425604,1.2254993582403557,0.6767770985130658,-3455.384990488334,109.04393290573357,0.3624556363775999,1157.3345158070629,5.294407373172669
2025-01-01 00:08:00,0.7879362961293592,0.42701600039827253,0.005618720487209079,0.013132271602155987,0.007116933339971209,9.364534145348466e-05,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.0,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14822.657586666666,Off,0.0,0,79.7902862266799,51.666666666666686,46.10666666666668,0.0,50.60306198111665,0.23577264705538112,627.3376110438113,0.0,124.67232222918733,48.72970828312695,50.60306198111665,47.79303143413211,12.43753247303448,19.02815023306599,0.0,6.737091880954175,0.5147616720302899,2.8,9.236100170605994,-1687.6296677252228,-3364.4867506826636,1084.8150669651188,-2375.125177021923,-0.0,-0.0,846.1724387135846,0.0,3.0,0.11230519127264715,0.0,0,0.8190496468099834,197.99884266666666,-158.67692941688478,0.2198680779886007,9.01767326812874,0.002936793264072327,-32.013608784192655,1.225947061971092,0.676893950596422,-3473.0723851950747,108.58563451241055,0.3624556363775999,1079.4536744425748,5.3613925225440155
2025-01-01 00:09:00,0.7879362961293592,0.42701600039827253,0.005618720487209079,0.013132271602155987,0.007116933339971209,9.364534145348466e-05,0.02749570692202063,0.7604405892073385,0.0,0.0,0.005618720487209079,0.0,0.0,0.42701600039827253,0,1,0,0,Off,0,0,Off,0,0,Off,0.04614264815455537,0.03460698611591652,On,0.0669947852291952,0,On,0.004544051535087718,0.0,On,0.0006451245497151961,0.0,On,0.022306530837217717,0,On,0.04519515723851569,0,On,0.5232120190431415,0.39240901428235603,On,0.07889597954193078,0,On,0.005618720487209079,On,Off,0.0,19.444444444444457,0.0,0.0,0.0,0.0,0,0.0,14822.657586666666,Off,0.0,0,79.8726683245862,51.666666666666686,46.10666666666668,0.0,50.57946906566765,0.23591848558965836,627.3376110438113,0.0,124.80104425716593,48.654720548008704,50.57946906566765,47.692346289179234,12.43753247303448,18.924222974685396,-0.02022146975906125,6.7553313132262,0.667456903868298,2.8,9.236100170605994,-1657.6693398133,-3381.566881941318,1012.761072565463,-2353.2012225496455,-0.0,-0.0,846.1724387135846,0.0,3.0,0.11198571268743732,0.0,0,0.81671966705202,197.99884266666666,-150.64055597723893,0.22129294991916051,8.969864142559944,0.0029367070344976536,-31.392541226307316,1.226383348157967,0.6770039400822937,-3489.7291055353194,108.16222359400106,0.3624556363775999,1007.3266551028294,5.434417462633477
